ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M3535,cesta I. triedy,9,"50_080 Most cez kanál hydrocentrály, k.ú. Veľké Bierovce",80,48.853471075,17.967363018,200.6655,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Kanál,1966,Nezistený,3.0,106.6,,14.15,11.5,,,STAT,SSC - IVSC ZA,Trenčín,3514A48600,3514A48700,382585,Trenčín,3,3,5,5,5,5,5,5,5,5,5,5,7
M2950,cesta I. triedy,15,15_012 Most cez potok Brusníčka pred obcou Breznica,12,49.14794609,21.656187838,171.17375,trámová,prefabrikovaný predpätý betón,8.0,25.0,78.0,statický výpočet,Vodný tok,1960,Nezistený,1.0,15.97,,9.0,7.39,,230.0,STAT,SSC - IVSC KE,Stropkov,2833A03500,2833A03100,63268,Prešov,4,4,4,4,4,4,6,6,6,6,7,7,7
M1638,cesta I. triedy,66,67-083 Most cez potok Javorinka v obci Podspády,83,49.279887612,20.176698724,914.361,trámová,monolitický železobetón,20.0,40.0,0.0,statický výpočet,Vodný tok,1953,Nezistený,1.0,15.0,,11.0,10.0,,,STAT,SSC - IVSC KE,Poprad,2731A04600,2731A00401,440609,Prešov,5,5,5,6,6,6,6,6,6,6,6,7,7
M6077,cesta I. triedy,59,59_020 Most cez Starohorský potok v obci Polkanová,20,48.81465,19.09968,438.88,trámová,prefabrikovaný predpätý betón,10.0,16.0,35.0,statický výpočet,Vodný tok,1966,Nezistený,1.0,13.25,15.0,9.0,8.0,135.0,186.0,STAT,SSC - IVSC BB,Banská Bystrica,3614A14900,3614A15200,280286,Banská Bystrica,4,4,4,4,4,6,6,6,6,6,6,7,7
M485,cesta I. triedy,77,77-035 Most cez Večný potok pred obcou Lenartov,35,49.30702,21.01068,501.07,trámová,prefabrikovaný predpätý betón,24.0,54.0,0.0,odhadom,Vodný tok,1969,Nezistený,1.0,13.25,,7.35,6.0,,,STAT,SSC - IVSC KE,Bardejov,2742A05500,2742A05600,320651,Prešov,5,5,5,5,5,5,5,5,6,6,7,7,7
M6548,cesta I. triedy,15,15_013 Most cez potok Vojtovce v obci Breznica,13,49.16130484,21.66144453,176.4725,trámová,prefabrikovaný predpätý betón,24.0,55.0,0.0,odhadom,Vodný tok,1960,Nezistený,1.0,13.2,,11.8,9.2,,,STAT,SSC - IVSC KE,Stropkov,2833A08800,2833A08900,151039,Prešov,6,5,5,5,5,5,5,5,6,7,7,7,7
M4633,cesta I. triedy,66,66-157 Most cez rieku Hron za obcou Švermovo,157,48.85689904,20.21219052,922.899,dosková,prefabrikovaný železobetón,39.0,92.0,268.0,podľa tabuliek,Vodný tok,1963,Nezistený,1.0,3.4,,10.0,7.5,,,STAT,SSC - IVSC BB,Brezno,3711A07202,3711A07502,489151,Banská Bystrica,3,3,3,3,3,3,3,6,7,7,7,7,7
M5432,cesta I. triedy,72,72_073 Most cez Rybací potok v k.ú. Nižná Boca,73,48.970338193,19.776610646,774.977499,dosková,monolitický železobetón,4.0,12.0,49.0,podľa tabuliek,Vodný tok,1938,,1.0,2.9,,7.2,,,,STAT,SSC - IVSC ZA,Liptovský Mikuláš,3622A01800,3622A01900,211233,Žilina,0,0,0,0,0,0,0,0,0,0,0,0,7
M5265,cesta I. triedy,71,71_002 Most cez železničnú trať pri obci Holiša,2,48.307983342,19.715967233,183.456,trámová,prefabrikovaný predpätý betón,31.0,98.0,214.0,statický výpočet podľa TP 02/2016,Železnica,1979,Nezistený,6.0,176.65,,12.25,10.5,,,STAT,SSC - IVSC BB,Lučenec,4622A17400,4622A17500,281212,Banská Bystrica,3,3,3,3,3,3,3,6,6,6,6,6,6
M3316,cesta I. triedy,78,78_017 Most cez rieku Biela Orava pri obci Oravská Jasenica,17,49.388668774,19.451403682,614.727499,trámová,prefabrikovaný predpätý betón,25.0,89.0,161.0,porovnávací výpočet,Vodný tok,1971,Nezistený,3.0,89.4,,8.0,6.5,,,STAT,SSC - IVSC ZA,Námestovo,2623A00700,2623A01300,3290,Žilina,6,6,6,6,6,6,6,6,6,6,6,6,6
