ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,Quantile_Bin,Quantile_Bin_year
M2239,cesta II. triedy,499,Most cez horský potok pri hranici kraja,14,48.806469,17.528873,394.562000,klenbová,kameň,50.000000,60.000000,100.000000,odhadom,Vodný tok,1910,Nezistený,1.000000,2.900000,nan,12.600000,nan,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A05600,3513A02800,393,Trenčín,3,3,3,3,6,6,6,6,6,6,5,5,5,"(1.999, 3.25]","(999.999, 1949.333]"
M2807,cesta II. triedy,499,Most/žel. tunel Veselí n/M - N.M. n/V,15,48.802206,17.531044,423.579500,klenbová,kameň,0.000000,0.000000,0.000000,odhadom,Železnica,1926,Nezistený,1.000000,9.400000,nan,7.000000,nan,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A05600,3513A02800,393,Trenčín,1,1,1,1,1,1,1,1,3,3,3,3,4,"(6.72, 11.0]","(999.999, 1949.333]"
M5751,cesta II. triedy,499,Most cez rieku Myjava v meste Myjava,16,48.747390,17.562702,315.321249,dosková,prefabrikovaný predpätý betón,48.000000,121.000000,359.000000,odhadom,Vodný tok,1986,Nezistený,1.000000,11.000000,nan,16.860000,12.460000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A17500,3513A17600,192189,Trenčín,3,3,3,3,4,3,3,3,3,4,4,4,4,"(6.72, 11.0]","(1965.0, 2022.0]"
M1015,cesta II. triedy,499,Most cez potok Brezová (Vaškovci),19,48.709345,17.551227,328.626499,dosková,monolitický železobetón,14.000000,43.000000,378.000000,podľa tabuliek,Vodný tok,1957,Nezistený,1.000000,3.100000,nan,9.400000,8.500000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A22101,3513A22200,192235,Trenčín,3,3,3,3,4,4,4,4,4,4,4,4,5,"(1.999, 3.25]","(1949.333, 1965.0]"
M6380,cesta II. triedy,499,Most cez odpad (Danov vrch),20,48.701862,17.544783,319.195999,klenbová,monolitický prostý betón,50.000000,60.000000,100.000000,odhadom,Kanál,1947,Nezistený,1.000000,2.200000,nan,8.500000,nan,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A22400,3513A22500,192238,Trenčín,3,3,3,3,4,4,4,4,4,4,4,4,5,"(1.999, 3.25]","(999.999, 1949.333]"
M5404,cesta II. triedy,499,Most cez odpad pri meste Brezová p/B,22,48.690911,17.541431,289.429999,trámová,monolitický železobetón,12.000000,30.000000,189.000000,podľa tabuliek,Kanál,1937,Nezistený,1.000000,7.100000,nan,7.650000,6.450000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A01900,3531A01300,454,Trenčín,3,3,3,3,4,4,4,4,4,4,4,4,6,"(6.72, 11.0]","(999.999, 1949.333]"
M1370,cesta II. triedy,499,Most cez Brezovský potok pri meste Brezová p/B,23,48.675113,17.536259,268.699750,dosková,monolitický železobetón,33.000000,78.000000,252.000000,odhadom,Vodný tok,1952,Nezistený,1.000000,11.350000,nan,9.250000,7.800000,nan,nan,TN SK,SC TN SK - TN,Myjava,3531A01300,3531A06700,455,Trenčín,5,5,4,4,4,4,5,5,5,5,6,6,6,"(11.0, 260.36]","(1949.333, 1965.0]"
M3615,cesta II. triedy,499,Most cez potok v obci Košariská,26,48.672635,17.579779,311.396999,dosková,monolitický železobetón,20.000000,49.000000,253.000000,podľa tabuliek,Vodný tok,1958,Nezistený,1.000000,5.800000,nan,7.650000,6.600000,nan,nan,TN SK,SC TN SK - TN,Myjava,3531A06900,3531A07000,192281,Trenčín,3,3,3,3,4,4,4,4,4,4,4,4,4,"(4.6, 6.72]","(1949.333, 1965.0]"
M1436,cesta II. triedy,500,Most cez Vrbovčianku za obcou Sobotište,23,48.771059,17.429781,281.618499,dosková,prefabrikovaný predpätý betón,28.000000,62.000000,135.000000,odhadom,Vodný tok,1966,Nezistený,1.000000,17.850000,nan,7.500000,6.500000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513B00100,3513A01400,7859,Trenčín,3,3,3,3,4,4,4,4,4,5,5,5,5,"(11.0, 260.36]","(1965.0, 2022.0]"
M1836,cesta II. triedy,500,Most cez Valúšsky potok,24,48.789885,17.454251,303.101500,trámová,monolitický železobetón,11.000000,31.000000,234.000000,podľa tabuliek,Vodný tok,1935,Nezistený,1.000000,3.450000,nan,5.600000,4.600000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A26500,3513A01500,192315,Trenčín,3,3,3,3,3,3,3,3,4,4,4,4,5,"(3.25, 4.6]","(999.999, 1949.333]"
M4030,cesta II. triedy,500,Most cez Vrbovčianku v obci Vrbovce,25,48.798291,17.465884,311.073499,trámová,prefabrikovaný predpätý betón,35.000000,83.000000,257.000000,odhadom,Vodný tok,1962,Nezistený,1.000000,12.000000,nan,11.500000,8.500000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A09900,3513A10000,192113,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,5,"(11.0, 260.36]","(1949.333, 1965.0]"
M3392,cesta II. triedy,500,Most cez potok Zápasečník v obci Vrbovce,26,48.801392,17.471937,319.975749,dosková,monolitický železobetón,24.000000,54.000000,192.000000,podľa tabuliek,Vodný tok,1965,Nezistený,1.000000,9.500000,nan,9.000000,6.500000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A10300,3513A10400,192117,Trenčín,3,3,3,3,3,3,3,3,4,4,4,4,4,"(6.72, 11.0]","(1949.333, 1965.0]"
M4620,cesta II. triedy,500,Most cez potok na hranici kraja,27,48.817625,17.508899,343.865999,dosková,prefabrikovaný železobetón,48.000000,127.000000,559.000000,podľa tabuliek,Vodný tok,1970,Nezistený,1.000000,5.750000,nan,8.000000,7.000000,nan,nan,TN SK,SC TN SK - TN,Myjava,3513A59200,3513A00200,1350123,Trenčín,2,2,2,2,4,4,4,4,5,5,5,5,6,"(4.6, 6.72]","(1965.0, 2022.0]"
M6207,cesta II. triedy,501,Most cez Branecký potok v obci Brezová pod Bradlom,36,48.658211,17.536872,256.478499,dosková,monolitický železobetón,50.000000,60.000000,100.000000,odhadom,Vodný tok,1935,Nezistený,1.000000,5.000000,nan,20.600000,15.000000,nan,nan,TN SK,SC TN SK - TN,Myjava,3531A02501,3531A02503,442,Trenčín,3,3,3,3,4,4,4,4,5,5,5,5,5,"(4.6, 6.72]","(999.999, 1949.333]"
M3256,cesta II. triedy,504,Most cez potok pred obcou Podolie,27,48.664514,17.763124,186.136750,dosková,monolitický železobetón,7.000000,23.000000,39.000000,odhadom,Vodný tok,1935,Nezistený,1.000000,2.700000,nan,7.900000,7.600000,nan,nan,TN SK,SC TN SK - TN,Nové Mesto nad Váhom,3532A02404,3532A09700,310168,Trenčín,3,3,3,3,4,4,4,4,4,4,4,4,3,"(1.999, 3.25]","(999.999, 1949.333]"
M4068,cesta II. triedy,504,Most cez potok v obci Podolie,28,48.678970,17.773746,182.939499,dosková,monolitický železobetón,10.000000,22.000000,36.000000,odhadom,Vodný tok,1958,Nezistený,1.000000,4.100000,nan,10.500000,8.500000,nan,nan,TN SK,SC TN SK - TN,Nové Mesto nad Váhom,3532A10300,3532A10401,288993,Trenčín,4,4,4,4,4,4,4,4,4,4,4,4,4,"(3.25, 4.6]","(1949.333, 1965.0]"
M3333,cesta II. triedy,504,Most cez Podhájsky potok v obci Čachtice,028A,48.703677,17.786748,184.185500,dosková,prefabrikovaný železobetón,50.000000,89.000000,90.000000,podľa tabuliek,Vodný tok,1979,Nezistený,1.000000,2.300000,nan,11.400000,10.800000,nan,nan,TN SK,SC TN SK - TN,Nové Mesto nad Váhom,3514A43100,3514A43200,289002,Trenčín,3,3,3,3,3,3,3,3,3,3,3,3,4,"(1.999, 3.25]","(1965.0, 2022.0]"
