ID_mosta,Názov_mosta,Dĺžka_premostenia,n_2024
M4237,526-20_Most cez potok Slatina za obcou Korytárky (000526-020),17.5,6
M2219,000571-032 Most cez  rieku Rimava v obci Jesenské,24.9,6
M3780,000571-039  Most cez  potok Blh   za obcou Rimavská Seč,14.7,7
M7269,000591-033 Most cez potok Tisovník v obci Dolná Strehová,17.4,6
M5488,"2484-001 Most cez Lutilský potok v km 0,676 Žiar nad Hronom (050076-001)",17.7,6
M5996,2440-5_Most cez  rieku Hron v obci Budča (050085-005),61.1,6
M4242,2694-2 Most cez  rieku Slatina pri železničnej stanici Detva (050098-002),17.88,6
M2601,2753-6 Most cez potok Blh v obci  Veľký Blh (050130-006),14.7,6
M84,050206-002_Most cez Krivánsky potok v obci Tomášovce,17.6,6
M2035,1556-12 Most cez potok Štiavička v obci Domaníky (066001-012 ),29.4,6
M220,2452-4 Most nad  traťou ŽSR Zvolen-Margecany (066022-004),336.38,6
M7627,2375-5_Most cez Čierny Hron v obci Hronec (066053-005),18.0,6
M3128,2566-9 Most cez potok Veľký medzi obcami Hrušov a Vinica (526003-009),16.5,6
M5264,2607-2 Most cez potok Krtíš medzi obcami Želovce a Kiarov ( 527024-002),17.2,6
M330,2774-1 Most cez rieku Rimava za obcou Veľké Teriakovce (531004-001),25.8,6
M7782,2775-1 Most cez rieku Rimava v obci Vrbovce (531005-001),27.2,6
M4291,2668-3_Most cez Ipeľ v obci Nitra nad Ipľom (571002-003),33.32,7
M3127,2791-1 (571025-001) Most cez rieku Rimava za obcou Šimonovce,36.0,6
M845,2796-1 (571030-001) Most cez rieku Rimava pred obcou Chrámec,35.27,6
