Rizikovost,ID_mosta
34,M2717
34,M5027
33,M2517
33,M4698
33,M5265
33,M6044
33,M6830
32,M427
32,M2191
32,M4089
32,M6572
32,M7306
31,M703
31,M1011
31,M1031
31,M1560
31,M2277
31,M2728
31,M2851
31,M3265
31,M3489
31,M4228
31,M4860
31,M5155
31,M5210
31,M5415
31,M5450
31,M6077
31,M6620
31,M6675
31,M6789
30,M1034
30,M1195
30,M1320
30,M1642
30,M2780
30,M3029
30,M3691
30,M3716
30,M4121
30,M5041
30,M5214
30,M5315
30,M5341
30,M5498
30,M5652
30,M6014
30,M6468
30,M6877
29,M1294
29,M1712
29,M2095
29,M2300
29,M3517
29,M3793
29,M5579
28,M1348
28,M2453
28,M2574
28,M2702
28,M2711
28,M3351
28,M4077
28,M4633
28,M5723
28,M5959
28,M7052
28,M7260
28,M7286
27,M46
27,M342
27,M950
27,M1220
27,M1484
27,M1837
27,M2118
27,M4737
27,M5259
27,M5853
27,M6198
27,M6417
27,M7353
27,M7803
26,M229
26,M451
26,M801
26,M1107
26,M1165
26,M1710
26,M1975
26,M1982
26,M1996
26,M1997
26,M2057
26,M2382
26,M2582
26,M2621
26,M2821
26,M2889
26,M3073
26,M3241
26,M3432
26,M3458
26,M3471
26,M3702
26,M3862
26,M4147
26,M4226
26,M4295
26,M4555
26,M4671
26,M4829
26,M4955
26,M5056
26,M5057
26,M5067
26,M5132
26,M5268
26,M5548
26,M5619
26,M5952
26,M5971
26,M6056
26,M6369
26,M6416
26,M6532
26,M7208
26,M7408
26,M7458
26,M7478
26,M7574
25,M21
25,M45
25,M197
25,M312
25,M327
25,M401
25,M583
25,M672
25,M677
25,M754
25,M872
25,M911
25,M1069
25,M1171
25,M1462
25,M1478
25,M1934
25,M1973
25,M2076
25,M2111
25,M2220
25,M2235
25,M2291
25,M2457
25,M2642
25,M2686
25,M2718
25,M2721
25,M2852
25,M3022
25,M3260
25,M3326
25,M3470
25,M3516
25,M3579
25,M3680
25,M3805
25,M3843
25,M4056
25,M4167
25,M4441
25,M4460
25,M4482
25,M4510
25,M4525
25,M4602
25,M4693
25,M4746
25,M4907
25,M4926
25,M5021
25,M5077
25,M5250
25,M5310
25,M5458
25,M5500
25,M5574
25,M5619
25,M5952
25,M5971
25,M6055
25,M6359
25,M6484
25,M6537
25,M6543
25,M6550
25,M6720
25,M6737
25,M6817
25,M6826
25,M6928
25,M7159
25,M7547
25,M7657
25,M7736
25,M7804
