ID_mosta,Trieda_PK,Číslo_PK,Most_DC,Názov_mosta,ID_DC,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Smer_úseku,Typ_úseku,Počiatočný_uzol,Koncový_uzol,úsek_ID,úsekové_staničenie_začiatku_DC_m,Kilometrovníkové_staničenie_začiatku_DC_km,Kumulatívne_staničenie_začiatku_DC_km,Poradie,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,S
M4786,cesta II. triedy,526,Dilatačný celok,Most cez potok pred obcou Gočaltovo,M4786.01,64,48.635671142,20.334794304,339.159,klenbová,monolitický železobetón,20,52,179,odhadom,Vodný tok,1938,Nezistený,1.0,5.3,,8.0,8.0,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3731A07800,3732A25100,192547,4042,143.049,142.753,214,Košice,4,4,4,4,4,4,4,4,4,4,4,6,968.0
M663,cesta II. triedy,526,Dilatačný celok,Most cez bezmenný potok pred obcou Gočaltovo,M663.01,65,48.635961466,20.34173889,342.380999,klenbová,monolitický železobetón,26,43,378,projektovaná,Vodný tok,1936,Nezistený,1.0,4.7,,11.5,7.5,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3731A07800,3732A25100,192547,4554,143.382,143.265,214,Košice,6,6,6,2,2,2,3,3,3,3,4,4,968.0
M424,cesta II. triedy,526,Dilatačný celok,Most cez Štítnický potok v obci Štítnik,M424.01,66,48.660172659,20.365448452,280.145499,dosková,prefabrikovaný železobetón,21,66,129,odhadom,Vodný tok,1964,Nezistený,2.0,19.0,,13.0,9.0,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3732A16200,3732A16300,324378,3,148.363,148.242,226,Košice,3,3,3,3,3,3,3,4,4,4,4,5,2108.0
M2226,cesta II. triedy,526,Dilatačný celok,Most cez miestny potok Štítnik,M2226.01,67,48.660300728,20.365837539,280.1385,dosková,prefabrikovaný železobetón,21,60,197,podľa tabuliek,Vodný tok,1964,Nezistený,1.0,3.0,,13.0,9.0,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3732A16200,3732A16300,324378,64,148.424,148.303,226,Košice,4,4,4,4,4,4,4,4,4,4,4,4,2108.0
M4574,cesta II. triedy,526,Dilatačný celok,Most cez potok v obci Honce,M4574.01,69,48.66765738,20.405645058,364.8515,dosková,monolitický železobetón,26,37,295,odhadom,Vodný tok,1961,Nezistený,1.0,5.6,,8.2,7.5,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3732A16600,3732A16700,324382,6,151.604,151.496,231,Košice,3,3,3,3,3,3,3,4,4,4,4,4,2108.0
M6275,cesta II. triedy,526,Dilatačný celok,Most cez miestny potok v obci Rožňavské Bystré,M6275.01,70,48.664168771,20.441210078,387.226999,dosková,prefabrikovaný železobetón,25,77,240,podľa tabuliek,Vodný tok,1972,Nezistený,1.0,3.0,,10.0,7.5,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,lúč,3732A17101,3732A17102,324387,88,154.37,154.241,235,Košice,3,3,3,3,3,3,3,3,3,3,3,4,2108.0
M4123,cesta II. triedy,526,Dilatačný celok,Most cez rieku Slaná v meste Rožňava,M4123.01,73,48.659717118,20.521444075,283.59175,dosková,prefabrikovaný železobetón,22,66,129,odhadom,Vodný tok,1965,Nezistený,2.0,19.2,,13.0,9.0,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3732A05906,3732A18400,553447,21,160.508,160.346,262,Košice,3,3,3,3,3,3,3,5,5,5,5,5,10849.0
M6605,cesta II. triedy,526,Dilatačný celok,Most cez potok Drázusz v meste Rožňava,M6605.01,74,48.655471183,20.529844368,299.811499,dosková,monolitický železobetón,14,31,102,odhadom,Vodný tok,1951,Nezistený,1.0,9.8,,15.5,11.5,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3732A19000,3732A33300,324406,115,161.54,161.378,280,Košice,3,3,3,3,3,3,3,3,3,3,3,4,11910.0
M2496,cesta II. triedy,533,Dilatačný celok,"Most cez potok Martinkov, Gemerská Poloma",M2496.01,2,48.759283537,20.48030249,393.898,dosková,monolitický železobetón,21,48,134,odhadom,Vodný tok,1934,Nezistený,1.0,3.1,,7.0,7.0,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3714A13300,3714A13400,324585,831,5.743,5.525,13,Košice,4,4,4,4,4,4,5,5,5,5,6,6,249.0
M5752,cesta II. triedy,533,Dilatačný celok,Most cez potok z Hluchej doliny v osade Huta,M5752.01,4,48.788593345,20.472409591,505.227499,klenbová,kameň,9,30,120,podľa tabuliek,Vodný tok,1875,Nezistený,1.0,3.0,,6.5,6.5,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3714A13600,3714B00500,324588,23,9.459,9.129,15,Košice,4,4,4,4,4,4,5,5,5,5,5,5,249.0
M5279,cesta II. triedy,533,Dilatačný celok,Most cez horský potok za osadou Huta,M5279.01,5,48.798340554,20.476363057,586.005499,klenbová,kameň,9,30,120,podľa tabuliek,Vodný tok,1875,Nezistený,1.0,3.05,,6.5,6.5,,,KE SK,SC KSK - RV,Rožňava,oba smery trasy CK,medzikrižovatkový,3714A13600,3714B00500,324588,1466,10.802,10.572,15,Košice,4,4,4,4,4,4,5,5,5,5,5,5,249.0
M6200,cesta II. triedy,533,Dilatačný celok,Most cez rieku Hnilec v obci Hnilec,M6200.01,10,48.843528897,20.50302787,666.41925,trámová,monolitický železobetón,12,35,202,odhadom,Vodný tok,1930,Nezistený,1.0,14.4,,7.0,5.2,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3714A03501,3714A03600,219334,39,23.594,23.453,32,Prešov,5,5,5,5,5,3,5,5,5,5,5,5,469.0
M4105,cesta II. triedy,533,Dilatačný celok,Most cez Železný potok pri obci Hnilčík,M4105.01,11,48.876349357,20.521712777,813.102499,dosková,monolitický železobetón,17,40,238,odhadom,Vodný tok,1959,Nezistený,1.0,3.85,,11.9,10.4,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A00300,3712A19100,4784,57,35.885,35.615,36,Prešov,4,4,4,4,4,4,5,5,5,5,6,6,2559.0
M686,cesta II. triedy,533,Dilatačný celok,Most cez horský potok pred obcou N. Huta,M686.01,13,48.892856988,20.519249763,595.929499,dosková,monolitický železobetón,24,62,280,odhadom,Vodný tok,1959,Nezistený,1.0,3.25,,8.8,7.6,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A19100,3712A19200,219295,1004,41.205,40.94,37,Prešov,3,3,3,3,3,3,3,4,4,4,4,5,2559.0
M1650,cesta II. triedy,533,Dilatačný celok,"Most cez potok Dubnica, Novoveská Huta",M1650.01,14,48.902519819,20.518084431,546.995999,dosková,monolitický železobetón,32,60,350,odhadom,Vodný tok,1959,Nezistený,1.0,5.15,,10.5,9.0,,,KE SK,SC KSK - SNV,Spišská Nová Ves,oba smery trasy CK,medzikrižovatkový,3712A19800,3712A19900,219302,19,42.291,42.029,46,Prešov,4,4,4,4,4,4,5,5,5,5,6,6,3985.0
