ID_mosta;Trieda_PK;Číslo_PK;Zemepisná_šírka;Zemepisná_dĺžka
M4786;cesta II. triedy;526;48.635671142;20.334794304
M663;cesta II. triedy;526;48.635961466;20.34173889
M424;cesta II. triedy;526;48.660172659;20.365448452
M2226;cesta II. triedy;526;48.660300728;20.365837539
M4574;cesta II. triedy;526;48.66765738;20.405645058
M6275;cesta II. triedy;526;48.664168771;20.441210078
M4123;cesta II. triedy;526;48.659717118;20.521444075
M6605;cesta II. triedy;526;48.655471183;20.529844368
M2496;cesta II. triedy;533;48.759283537;20.48030249
M5752;cesta II. triedy;533;48.788593345;20.472409591
M5279;cesta II. triedy;533;48.798340554;20.476363057
M6200;cesta II. triedy;533;48.843528897;20.50302787
M4105;cesta II. triedy;533;48.876349357;20.521712777
M686;cesta II. triedy;533;48.892856988;20.519249763
M1650;cesta II. triedy;533;48.902519819;20.518084431
M6132;cesta II. triedy;533;48.908389577;20.525495902
M4129;cesta II. triedy;533;48.936981122;20.557781413
M1667;cesta II. triedy;533;48.94299291;20.560954866
M3902;cesta II. triedy;533;48.951746362;20.569017574
M3907;cesta II. triedy;533;48.952221929;20.570955089
M6258;cesta II. triedy;533;48.961924688;20.581924895
M162;cesta II. triedy;535;48.853521574;20.38516586
M4697;cesta II. triedy;535;48.849945206;20.427461408
M423;cesta II. triedy;535;48.845049302;20.439658908
M547;cesta II. triedy;536;48.94896034;20.797983332
M953;cesta II. triedy;536;48.94553028;20.774208157
M7151;cesta II. triedy;536;48.945751818;20.706603021
M3671;cesta II. triedy;536;48.946056608;20.692394505
M4614;cesta II. triedy;536;48.941031839;20.656138328
M7068;cesta II. triedy;536;48.933801243;20.632193403
M589;cesta II. triedy;536;48.939201893;20.600290715
M6714;cesta II. triedy;536;48.939004797;20.590920226
M2432;cesta II. triedy;533;48.950958752;20.567512777
M3131;cesta II. triedy;536;48.956177864;20.514082033
M559;cesta II. triedy;536;48.974572131;20.490588889
M6053;cesta II. triedy;546;48.89504965;21.018301497
M112;cesta II. triedy;546;48.88934122;21.00937672
M3386;cesta II. triedy;546;48.878808695;20.997178589
M5552;cesta II. triedy;546;48.877378588;20.996927746
M38;cesta II. triedy;546;48.873555754;20.99195205
M6391;cesta II. triedy;546;48.86638463;20.959468079
M64;cesta II. triedy;546;48.838185208;20.921276911
M1517;cesta II. triedy;546;48.815674824;20.916990951
M3503;cesta II. triedy;546;48.814876932;20.914364825
M6577;cesta II. triedy;546;48.816654602;20.898554581
M7371;cesta II. triedy;546;48.816361992;20.893702884
M6581;cesta II. triedy;546;48.83181885;20.878339948
M5724;cesta II. triedy;546;48.831387884;20.87477482
M3586;cesta II. triedy;546;48.828424534;20.868692951
M4663;cesta II. triedy;546;48.824466931;20.846370588
M4537;cesta II. triedy;546;48.814649927;20.826345081
M3037;cesta II. triedy;546;48.808773649;20.80970416
M5760;cesta II. triedy;546;48.789324743;20.760116592
M1129;cesta II. triedy;546;48.797801146;20.747828252
M4617;cesta II. triedy;546;48.808559495;20.724030798
M2680;cesta II. triedy;546;48.812803008;20.711799914
M4699;cesta II. triedy;546;48.813302741;20.699863933
M5927;cesta II. triedy;546;48.812916195;20.695606247
M4635;cesta II. triedy;546;48.812706571;20.694586679
M1222;cesta II. triedy;546;48.80898824;20.677608688
M5943;cesta II. triedy;546;48.836915391;20.643745292
M6229;cesta II. triedy;546;48.839108417;20.627863515
M5793;cesta II. triedy;546;48.842268169;20.618769958
M6337;cesta II. triedy;546;48.853586827;20.584642993
M7380;cesta II. triedy;546;48.856098766;20.576593186
M746;cesta II. triedy;546;48.856420012;20.575251048
M6751;cesta II. triedy;546;48.86027765;20.574007708
M7326;cesta II. triedy;546;48.872547895;20.5609437
M4634;cesta II. triedy;546;48.876067976;20.546527332
M4871;cesta II. triedy;546;48.875935273;20.537433461
M5467;cesta II. triedy;546;48.87628;20.53392
M1911;cesta II. triedy;547;48.785001467;21.125962747
M2834;cesta II. triedy;547;48.787534447;21.125091711
M386;cesta II. triedy;547;48.792636055;21.120808693
M3589;cesta II. triedy;547;48.795763883;21.115395573
M5949;cesta II. triedy;547;48.799279511;21.109303249
M4361;cesta II. triedy;547;48.801408247;21.105624673
M7625;cesta II. triedy;547;48.803720104;21.101614016
M3739;cesta II. triedy;547;48.810527559;21.096159064
M496;cesta II. triedy;547;48.818958955;21.082412134
M854;cesta II. triedy;547;48.832535264;21.075912488
M836;cesta II. triedy;547;48.833629591;21.052127546
M6511;cesta II. triedy;547;48.851049916;21.024771607
M7415;cesta II. triedy;547;48.855907558;21.014802343
M3140;cesta II. triedy;547;48.857098122;21.012831483
M3211;cesta II. triedy;547;48.905345624;20.980714319
M3056;cesta II. triedy;547;48.911895816;20.943166578
M7519;cesta II. triedy;547;48.922141296;20.921902984
M6698;cesta II. triedy;547;48.924953476;20.912873229
M4426;cesta II. triedy;547;48.916078888;20.87203471
M4261;cesta II. triedy;547;48.921139947;20.861759682
M1953;cesta II. triedy;547;48.927049153;20.856260522
M5146;cesta II. triedy;547;48.928375732;20.850442564
M7490;cesta II. triedy;547;48.933109745;20.839562574
M7265;cesta II. triedy;547;48.939140715;20.824477869
M4502;cesta II. triedy;547;48.942237104;20.818109518
M7077;cesta II. triedy;547;48.970737647;20.782934546
M3473;cesta II. triedy;548;48.675077481;21.169523318
M7748;cesta II. triedy;548;48.676144417;21.166339165
M6447;cesta II. triedy;548;48.675850636;21.142274809
M6324;cesta II. triedy;548;48.677179034;21.101913461
M1150;cesta II. triedy;548;48.676919065;21.092921969
M3275;cesta II. triedy;548;48.688594325;21.011947654
M758;cesta II. triedy;548;48.683308017;20.974353653
M7787;cesta II. triedy;548;48.69328588;20.947909886
M5556;cesta II. triedy;548;48.697789872;20.913497137
M1410;cesta II. triedy;548;48.698733163;20.895423413
M1199;cesta II. triedy;548;48.705179144;20.885057342
M2624;cesta II. triedy;548;48.702744562;20.840056086
M4249;cesta II. triedy;548;48.703935135;20.822945393
M1923;cesta II. triedy;548;48.704837418;20.822005025
M7002;cesta II. triedy;548;48.707238384;20.810068603
M5950;cesta II. triedy;549;48.750226987;20.777506325
M737;cesta II. triedy;549;48.746411047;20.774833868
M3089;cesta II. triedy;549;48.739537165;20.760707173
M2859;cesta II. triedy;549;48.727480348;20.721915669
M7317;cesta II. triedy;549;48.71649;20.71077
M5311;cesta II. triedy;549;48.714149712;20.706429987
M7697;cesta II. triedy;549;48.71125;20.7023
M1149;cesta II. triedy;549;48.705421825;20.675724412
M4307;cesta II. triedy;549;48.667076407;20.610437258
