,ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
2560,M7645,cesta II. triedy,547,Nezistený,1,48.74219521,21.267348395,216.737999,rámová,prefabrikovaný železobetón,50.0,89.0,420.0,podľa tabuliek,Vodný tok,1989,Nezistený,1.0,2.34,,28.06,28.06,,,KE,MAG-KE,Košice I,3724A01312,3724A01305,5311,Košice,1,1,1,1,1,1,1,1,1,1,1,1,1
2561,M5850,cesta II. triedy,547,Nezistený,2,48.742320124,21.262175275,220.85825,trámová,prefabrikovaný predpätý betón,24.0,47.0,103.0,podľa tabuliek,Železnica,1969,Nezistený,8.0,153.81,,14.25,14.25,,,KE,MAG-KE,Košice I,3724A06202,3724A06401,24992,Košice,4,4,4,4,4,4,4,4,4,4,4,4,4
2562,M5421,cesta II. triedy,547,Nezistený,3,48.741304461,21.257932148,213.0965,trámová,prefabrikovaný predpätý betón,31.0,88.0,275.0,podľa tabuliek,Vodný tok,1969,Nezistený,2.0,46.19,,14.25,14.25,,,KE,MAG-KE,Košice I,3724A06402,3724A15300,25686,Košice,3,3,3,3,3,3,3,3,3,3,3,3,3
2563,M6589,cesta II. triedy,547,Nezistený,003A,48.74087726,21.256924516,212.546499,trámová,prefabrikovaný predpätý betón,30.0,64.0,159.0,podľa tabuliek,Kanál,1969,Nezistený,1.0,13.52,,14.25,14.25,,,KE,MAG-KE,Košice I,3724A06402,3724A15300,25686,Košice,3,3,3,3,3,3,3,3,3,3,3,3,3
2564,M2617,cesta II. triedy,547,Nezistený,4,48.742088787,21.239885757,224.1875,dosková,monolitický železobetón,26.0,45.0,247.0,podľa tabuliek,Vodný tok,1954,Nezistený,1.0,5.2,,14.0,14.0,,,KE,MAG-KE,Košice I,3724A09000,3724A09100,294196,Košice,3,3,3,3,3,3,3,3,3,3,3,3,3
2565,M3184,cesta II. triedy,547,Nezistený,5,48.751719931,21.20803752,273.2065,dosková,prefabrikovaný železobetón,37.0,94.0,330.0,podľa tabuliek,Vodný tok,1968,Nezistený,1.0,3.0,,8.5,7.5,,,KE,MAG-KE,Košice I,3724A02406,3724A15000,323800,Košice,3,3,3,3,3,3,3,3,3,3,3,3,3
2566,M2347,cesta II. triedy,547,Nezistený,6,48.756017835,21.192015113,292.448,dosková,prefabrikovaný železobetón,37.0,94.0,330.0,podľa tabuliek,Vodný tok,1968,Nezistený,1.0,3.0,,8.0,7.0,,,KE,MAG-KE,Košice I,3724A02406,3724A15000,323800,Košice,3,3,3,3,3,3,3,3,3,3,3,3,3
2567,M3493,cesta II. triedy,547,Nezistený,8,48.758407528,21.18617172,300.778,dosková,prefabrikovaný železobetón,35.0,75.0,255.0,podľa tabuliek,Vodný tok,1968,Nezistený,1.0,7.9,,13.3,13.3,,,KE,MAG-KE,Košice I,3724A02406,3724A15000,323800,Košice,2,2,2,2,2,2,2,2,2,2,2,2,2
2568,M7604,cesta II. triedy,547,Nezistený,008A,48.763594034,21.174115043,349.153,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,1997,Nezistený,1.0,2.52,,15.35,14.35,,,KE,MAG-KE,Košice I,3724A15000,3724A15200,294298,Košice,1,1,1,1,1,1,1,1,1,1,1,1,1
2569,M2348,cesta II. triedy,547,Nezistený,008B,48.764538708,21.165424497,384.3705,rámová,prefabrikovaný železobetón,50.0,107.0,378.0,podľa tabuliek,Vodný tok,1997,Nezistený,1.0,3.69,,15.85,14.85,,,KE,MAG-KE,Košice I,3724A15000,3724A15200,294298,Košice,1,1,1,1,1,1,1,1,1,1,1,1,1
