Datetime,Epochs,Voltage,T_11_pv1,T_11_pv2,T_12_pv1,T_12_pv2,T_27_pv1,T_27_pv2,Hour
2025-02-15 00:00:00,1739579319.7885466,4.1625000235,1.03125,-0.75,-0.234375,-1.140625,-0.796875,-0.4375,0
2025-02-15 01:00:00,1739582901.0428455,4.1455000635,0.71875,-1.265625,-0.609375,-1.59375,-1.109375,-0.71875,1
2025-02-15 02:00:00,1739586481.943157,4.14149999575,0.40625,-1.6875,-0.9375,-1.96875,-1.578125,-1.171875,2
2025-02-15 03:00:00,1739590061.678248,4.14549994425,0.1328125,-2.078125,-1.28125,-2.34375,-1.578125,-1.1875,3
2025-02-15 04:00:00,1739593644.0326977,4.14699995475,-0.09375,-2.5,-1.5625,-2.703125,-1.828125,-1.34375,4
2025-02-15 05:00:00,1739597224.2487063,4.1319998505,-0.28125,-2.84375,-1.84375,-3.03125,-2.140625,-1.6875,5
2025-02-15 06:00:00,1739600807.1032937,4.14049994925,-0.40625,-2.9375,-2.078125,-3.15625,-2.09375,-1.734375,6
2025-02-15 07:00:00,1739604390.5393229,4.14999997575,-0.109375,-1.921875,-2.140625,-2.640625,-1.171875,-0.75,7
2025-02-15 08:00:00,1739607973.824484,4.16800010175,0.8125,1.09375,-1.890625,-1.828125,-0.109375,0.265625,8
2025-02-15 09:00:00,1739611556.9360206,4.22449994075,1.390625,4.703125,-1.390625,-0.921875,0.734375,1.015625,9
2025-02-15 10:00:00,1739615138.2206073,4.2375000714999995,1.6875,9.34375,-0.78125,-0.265625,1.375,1.578125,10
2025-02-15 11:00:00,1739618718.6415539,4.23449993125,2.234375,13.421875,-0.234375,0.296875,1.953125,2.0625,11
2025-02-15 12:00:00,1739622299.9665642,4.23999989025,2.984375,14.6875,0.28125,0.96875,2.359375,2.46875,12
2025-02-15 13:00:00,1739625881.4105177,4.23299992075,3.640625,12.484375,0.78125,1.390625,2.421875,2.53125,13
2025-02-15 14:00:00,1739629462.1520863,4.22800004475,4.09375,9.765625,1.0625,1.578125,2.0,2.203125,14
2025-02-15 15:00:00,1739633043.2383718,4.23100006575,4.25,7.25,1.03125,1.078125,1.28125,1.546875,15
2025-02-15 16:00:00,1739636623.3305047,4.21849989875,4.109375,5.140625,0.65625,0.1875,0.34375,0.75,16
2025-02-15 17:00:00,1739640204.7353675,4.207500100000001,3.84375,3.4921875,0.1875,-0.734375,-0.109375,0.28125,17
2025-02-15 18:00:00,1739643785.9109173,4.19900000075,3.5625,2.25,-0.25,-1.34375,-0.515625,-0.015625,18
2025-02-15 19:00:00,1739647367.616733,4.1885000465,3.1875,1.3125,-0.6875,-1.78125,-0.578125,-0.109375,19
2025-02-15 20:00:00,1739651396.080791,4.1780000684,2.83125,0.7,-1.0,-2.0,-0.875,-0.2375,20
2025-02-15 21:00:00,1739655425.9445143,4.16049993,2.375,-0.21875,-1.375,-2.578125,-1.4375,-0.859375,21
2025-02-15 22:00:00,1739659007.140421,4.161000013000001,2.03125,-0.921875,-1.734375,-3.046875,-2.4375,-1.859375,22
2025-02-15 23:00:00,1739662588.3179183,4.1575001475,1.5703125,-1.546875,-2.140625,-3.5,-2.796875,-2.109375,23
2025-02-16 00:00:00,1739666169.0449944,4.1529998775,1.296875,-1.921875,-2.390625,-3.625,-2.515625,-1.8125,0
2025-02-16 01:00:00,1739669751.4956303,4.1510000225,0.84375,-2.1875,-2.59375,-3.84375,-2.671875,-1.9375,1
2025-02-16 02:00:00,1739673332.6134658,4.14699995475,0.484375,-2.609375,-2.84375,-4.15625,-3.0,-2.390625,2
2025-02-16 03:00:00,1739676912.7797863,4.1319999695,0.21875,-2.953125,-3.078125,-4.40625,-3.359375,-2.609375,3
2025-02-16 04:00:00,1739680493.97361,4.13999986625,-0.015625,-3.140625,-3.296875,-4.5,-3.40625,-2.578125,4
2025-02-16 05:00:00,1739684074.929174,4.1399999855,-0.234375,-3.34375,-3.484375,-4.6875,-3.65625,-2.875,5
2025-02-16 06:00:00,1739687656.4398828,4.12849986575,-0.34375,-3.296875,-3.59375,-4.59375,-3.5625,-2.609375,6
2025-02-16 07:00:00,1739691239.8510199,4.13900005775,-0.375,-2.5625,-3.578125,-4.265625,-3.1875,-2.125,7
2025-02-16 08:00:00,1739694822.6540952,4.16050004925,-0.09375,-0.5625,-3.375,-3.640625,-1.953125,-1.328125,8
2025-02-16 09:00:00,1739698406.8701847,4.215499997,0.328125,2.53125,-2.921875,-2.671875,-0.78125,-0.453125,9
2025-02-16 10:00:00,1739701987.3385525,4.23999989025,0.609375,6.203125,-2.296875,-1.84375,0.0625,0.28125,10
2025-02-16 11:00:00,1739705569.0208826,4.230000019,1.21875,8.265625,-1.59375,-0.703125,0.78125,0.9375,11
