ID_Mosta,ID_úseku,Start,End,Okres
M5833,00153,3722A01600,3722A51100,Prešov
M1902,03511,3722A52702,3722A01600,Prešov
M121,91360,2633A42600,2633A01600,Žilina
M6035,90094,2631A00222,2631A01601,Žilina
M5676,05450,3831A02100,3742A03600,Košice - okolie
M2768,02530,3723A00300,3742A22300,Košice - okolie
M4621,82630,4611A02000,4522A11200,Levice
M6188,81750,4611A00300,4522A00609,Levice
M2191,90590,3733A00603,3644A00302,Rimavská Sobota
M1195,92000,3624A00100,3642A13000,Rimavská Sobota
M4087,01041,2742A03701,2742A09900,Bardejov
M3182,01492,2742A03800,2742A17000,Bardejov
M1255,93701,2643A09000,2643A01801,Liptovský Mikuláš
M5686,93006,3621A00200,2643A02800,Liptovský Mikuláš
M3917,90262,2613A00600,2613A16100,Čadca
M1812,90270,2613A03316,2613A04102,Čadca
M6016,91443,3524A50100,3524A00202,Prievidza
M5910,92110,3613A00600,3613A00400,Prievidza
M6211,80032,3521A00401,3521A00304,Trenčín
M618,80640,3523A00500,3523A00400,Trenčín
M2717,90897,3623A00501,3614A01504,Banská Bystrica
M3265,90660,3614A00101,3614A06005,Banská Bystrica
M4815,00047,2734A01600,2733A12200,Poprad
M3440,00750,2733A00801,2733A08200,Poprad
M562,92151,3631A00102,3631A00803,Žiar nad Hronom
M5155,91350,3631A01900,3631A00206,Žiar nad Hronom
M885,01379,2833A02600,2833A02403,Svidník
M5001,01386,2831A00501,2831A00400,Svidník
M220,93351,3632A17100,3632A01103,Zvolen
M2889,91530,3632A32900,3632A02000,Zvolen
M2610,82591,4521A08805,4521A00500,Nitra
M5828,80350,4521A02400,4521A00204,Nitra
M6817,92061,3623A00200,3623A04300,Brezno
M5243,90920,3623A01300,3623A01209,Brezno
M4698,91902,3644A00103,4622A00300,Lučenec
M801,90536,3643A01201,3643A01100,Lučenec
M5550,91780,4621A00800,4621A00200,Veľký Krtíš
M3603,92330,4621A14200,4612A00900,Veľký Krtíš
M6289,00861,2741A05201,2741A00100,Stará Ľubovňa
M634,05180,2741A01203,2741A04301,Stará Ľubovňa
M5624,01313,2734A01101,2734A00502,Kežmarok
M5392,01300,2734A00600,2733A05921,Kežmarok
M1762,93219,3611A06300,3611B00200,Martin
M3082,90149,2634B00200,2634A00500,Martin
M4240,01203,3812A01500,3812A00502,Humenné
M6681,01789,3812A07302,3812B00200,Humenné
M917,05711,3832A14300,3832A01700,Trebišov
M1327,02620,3832A00105,3831A01400,Trebišov
M2040,01522,3812A01900,3812A04102,Vranov nad Topľou
M4021,05480,3812A06503,2833A05003,Vranov nad Topľou
M1885,90059,2544B00600,2544A00800,Považská Bystrica
M7186,92380,2544A01600,2544A15900,Považská Bystrica
M4123,01891,3732A18802,3732A05906,Rožňava
M3592,00650,3714A00401,3714A00102,Rožňava
M3640,90831,3633A00100,3633A00203,Žarnovica
M2721,90810,3544A31000,3544A02706,Žarnovica
M5221,80190,3533A28900,4511A02102,Trnava
M5492,80200,3534A00101,3533A02202,Trnava
M3832,83630,3514A00400,3514A00310,Nové Mesto nad Váhom
M7460,82240,3514A01800,3514A00400,Nové Mesto nad Váhom
M3759,04718,2743B00100,3721A00900,Levoča
M3276,00080,3721A00100,3721A00400,Levoča
M5574,91620,4611A00101,4611B00100,Krupina
M1973,91600,4611A01400,4611A01300,Krupina
M1608,03304,3814A02404,3814A24604,Michalovce
M3929,01800,3832A06400,3814A28100,Michalovce
M57,83901,3544A01807,3544A21800,Zlaté Moravce
M7339,80380,3544A00201,3544A00301,Zlaté Moravce
M2489,90721,2634A29100,2634A00305,Ružomberok
M5373,90700,3612A03900,3612A00400,Ružomberok
M1211,91230,2632A00600,2634A00200,Dolný Kubín
M1444,90158,2634B00300,2634B00200,Dolný Kubín
M5125,83946,4541A01500,4541A01400,Nové Zámky
M4653,83138,4544A00900,4544B00100,Nové Zámky
M6419,92210,2543A00102,2543A02102,Púchov
M7034,95940,2541A00300,2543A00700,Púchov
M4121,90641,3733A00100,3733A01600,Revúca
M1296,05100,3731A01300,3731A02200,Revúca
M3641,82809,3442A01601,3444A19000,Malacky
M7109,82791,3444A24000,3444A02203,Malacky
M5312,83526,3442A00600,3442A02900,Senica
M1833,80070,3441A00200,3442A01106,Senica
M660,92890,2623A08500,2623A00700,Námestovo
M4684,94890,2614A00500,2614A00100,Námestovo
M3293,82120,4533A00300,4531A00300,Dunajská Streda
M4819,81618,4513B00100,4513A01702,Dunajská Streda
M3109,01159,2834B00400,2834B00400,Stropkov
M1945,01680,2832A00200,2832A01100,Stropkov
M2098,01230,3821A07100,3821A00601,Snina
M1939,02916,3822A00200,3822A00102,Snina
M6062,00933,2744A01000,2744A12400,Sabinov
M6883,04719,2743A01901,2743B00100,Sabinov
M3882,80564,3541A08801,3541A01800,Topoľčany
M4962,80570,3541A00700,3541A00602,Topoľčany
M1514,80412,4543A00600,4543A00106,Komárno
M6745,83070,4541A00700,4541A05500,Komárno
M7118,93930,2641A01503,2623A00303,Tvrdošín
M7335,92460,2642A00200,2641A04804,Tvrdošín
M5723,90490,3641A03000,3632A01802,Detva
M4237,91710,3641A09500,3641A00204,Detva
M6258,01920,3712A32500,3712A12400,Spišská Nová Ves
M4105,03600,3712A05700,3712A25200,Spišská Nová Ves
M1311,02886,2832A23900,2832A23100,Medzilaborce
M5316,03106,2841A00100,2832A01700,Medzilaborce
M5581,82581,4512A02600,4512A00504,Galanta
M2437,80811,4512A00200,4512A00102,Galanta
M6288,91320,3613A01200,3613B00200,Turčianske Teplice
M3069,92420,3611A02000,3611A01700,Turčianske Teplice
M3877,82653,4424A61901,4424A62902,Bratislava II
M6759,84161,4424A02003,4424A01202,Bratislava II
M1481,80661,3523A01201,3523A01100,Bánovce nad Bebravou
