ID_mosta,Trieda_PK,Číslo_PK,Názov_mosta,správcovské_číslo,Zemepisná_šírka,Zemepisná_dĺžka,Výška,Druh_konštrukcie,Material,Normálna_zaťažiteľnosť,Výhradná_zaťažiteľnosť_t,Výnimočná_zaťažiteľnosť_t,Spôsob_stanovenia,Predmet_premostenia,Rok_postavenia,Zaťažovacia_trieda_STN,Počet_otvorov,Dĺžka_premostenia,Dĺžka_nosnej_konštrukcie_m,Volná_šírka_mosta,Šírka_medzi_obrubami_m,Plocha_mosnej_konštrukcie_m2,Plocha_mosta_m2,Vlastník_úseku,Správca_úseku,Okres,Počiatočný_uzol,Koncový_uzol,úsek_ID,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024
M5897,cesta I. triedy,2,02_002 Most cez potok Brestovec v obci Kopčany,2,48.790152421,17.12331906,163.81625,dosková,prefabrikovaný železobetón,29.0,64.0,303.0,podľa tabuliek,Vodný tok,1966,Nezistený,1,6.55,Nezistený,10.5,8,Nezistený,Nezistený,STAT,SSC - IVSC BA,Skalica,3424A11500,3424A11600,259391,Trnava,3,3,3,3,3,5,5,5,5,5,5,5,5
M1979,cesta I. triedy,2,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,3,48.757287384,17.079098102,162.974249,dosková,prefabrikovaný predpätý betón,19.0,49.0,199.0,podľa tabuliek,Vodný tok,1962,Nezistený,1,8,Nezistený,9.5,8.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Skalica,3424A09200,3424A01900,259368,Trnava,3,3,3,3,3,6,6,6,6,6,6,6,6
M6525,cesta I. triedy,2,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,4,48.684515442,17.031675254,168.96875,dosková,prefabrikovaný predpätý betón,26.0,61.0,178.0,odhadom,Železnica,1967,Nezistený,3,40,Nezistený,10,9,Nezistený,Nezistený,STAT,SSC - IVSC BA,Skalica,3424A02000,3442A04800,271,Trnava,4,4,4,4,4,4,4,4,4,4,4,4,4
M4584,cesta I. triedy,2,O2_005 Most cez Zelnický potok pred obcou Kúty,5,48.663687978,17.020573721,155.871499,dosková,monolitický železobetón,16.0,42.0,316.0,podľa tabuliek,Vodný tok,1962,Nezistený,1,3.7,Nezistený,9.5,8.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,3442A27000,3442A27301,284169,Trnava,3,3,3,3,3,3,3,3,3,3,3,4,5
M3053,cesta I. triedy,2,"02_006 Most nad diaľnicou D2, pri obci Kúty",6,48.63912,17.00166,161.48,trámová,monolitický predpätý betón,52.0,188.0,260.0,porovnávací výpočet,Cestná komunikácia,1980,Nezistený,3,65,Nezistený,13,10.5,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,3442A01113,3442A01109,6670,Trnava,3,3,4,4,4,4,4,4,4,5,5,5,5
M1833,cesta I. triedy,2,02_007 Most cez rieku Myjava za obcou Kúty,7,48.634732118,16.994970512,153.17525,dosková,monolitický železobetón,13.0,46.0,265.0,statický výpočet podľa TP 02/2016,Vodný tok,1949,Nezistený,2,22.8,Nezistený,11,10,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,3442A01106,3441A02300,8719,Trnava,5,5,5,5,5,5,5,5,5,6,6,6,6
M1055,cesta I. triedy,2,02_008 Most cez kanál pri obci Sekule,8,48.600581635,16.995904186,150.6425,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,1940,Nezistený,1,4,Nezistený,8.1,7.4,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,3441A02700,3441A02800,284190,Trnava,3,3,3,3,3,6,6,6,6,6,6,6,6
M1839,cesta I. triedy,2,02_009 Most cez kanál v obci Moravský Svätý Ján,9,48.589378839,16.991552442,149.679499,dosková,monolitický železobetón,15.0,76.0,169.0,statický výpočet podľa TP 02/2016,Kanál,1940,Nezistený,1,4,Nezistený,7.4,6.1,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,3441A00500,3441A00201,8508,Trnava,3,3,3,3,3,6,6,6,6,6,6,6,6
M4986,cesta I. triedy,2,02_010 Most cez potok Lakšár za obcou Moravský Ján,10,48.572310285,16.993470125,151.34075,trámová,monolitický železobetón,17.0,39.0,112.0,odhadom,Vodný tok,1939,Nezistený,1,12.8,Nezistený,8.05,6.6,Nezistený,Nezistený,STAT,SSC - IVSC BA,Senica,3441A00900,3441A01300,283482,Trnava,3,3,4,4,4,4,4,4,4,5,5,5,5
M2426,cesta I. triedy,2,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,11,48.534269208,16.982162231,150.758,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,1939,Nezistený,1,4,Nezistený,8.2,7,Nezistený,Nezistený,STAT,SSC - IVSC BA,Malacky,3441A00400,3441A03200,8501,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5,5
