Trieda CK,číslo CK,identifikačné číslo DC,ID mosta,evidenčné číslo - staré,Stavebno-technický stav,správca DC (z aplikácie mosty),vlastnik DC (z aplikácie mosty),druh konštrukcie,materiál DC,zaťažiteľnosť normálna,zaťažiteľnost výhradná,zaťažiteľnosť výnimočná,spôsob stanovenia,predmet premostenia,Kraj (CK),Okres (CK),Spravca (CK),LongitudeE,LatitudeN,VyskaH
cesta I. triedy,2,M5897.01,M5897,2,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,prefabrikovaný železobetón,29.0,64.0,303.0,podľa tabuliek,Vodný tok,Trnavský kraj,Skalica,Slovenská správa ciest - IVSC Bratislava,17.12331906,48.790152421,163.81625
cesta I. triedy,2,M1979.01,M1979,3,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,prefabrikovaný predpätý betón,19.0,49.0,199.0,podľa tabuliek,Vodný tok,Trnavský kraj,Skalica,Slovenská správa ciest - IVSC Bratislava,17.079098102,48.757287384,162.974249
cesta I. triedy,2,M6525.01,M6525,4,Uspokojivý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,prefabrikovaný predpätý betón,26.0,61.0,178.0,odhadom,Železnica,Trnavský kraj,Skalica,Slovenská správa ciest - IVSC Bratislava,17.031675254,48.684515442,168.96875
cesta I. triedy,2,M4584.01,M4584,5,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,16.0,42.0,316.0,podľa tabuliek,Vodný tok,Trnavský kraj,Senica,Slovenská správa ciest - IVSC Bratislava,17.020573721,48.663687978,155.871499
cesta I. triedy,2,M3053.01,M3053,6,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,prefabrikovaný predpätý betón,52.0,188.0,260.0,porovnávací výpočet,Cestná komunikácia,Trnavský kraj,Senica,Slovenská správa ciest - IVSC Bratislava,17.001659036,48.639120267,161.483999
cesta I. triedy,2,M1833.01,M1833,7,Zlý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,20.0,50.0,130.0,porovnávací výpočet,Vodný tok,Trnavský kraj,Senica,Slovenská správa ciest - IVSC Bratislava,16.994970512,48.634732118,153.17525
cesta I. triedy,2,M1055.01,M1055,8,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,Trnavský kraj,Senica,Slovenská správa ciest - IVSC Bratislava,16.995904186,48.600581635,150.6425
cesta I. triedy,2,M1839.01,M1839,9,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,Trnavský kraj,Senica,Slovenská správa ciest - IVSC Bratislava,16.991552442,48.589378839,149.679499
cesta I. triedy,2,M4986.01,M4986,10,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,trámová,monolitický železobetón,17.0,39.0,112.0,odhadom,Vodný tok,Trnavský kraj,Senica,Slovenská správa ciest - IVSC Bratislava,16.993470125,48.572310285,151.34075
cesta I. triedy,2,M2426.01,M2426,11,Dobrý,Slovenská správa ciest - IVSC Bratislava,Štát,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,Bratislavský kraj,Malacky,Slovenská správa ciest - IVSC Bratislava,16.982162231,48.534269208,150.758
