Správca CK,Trieda CK,Číslo CK,Evidenčné číslo mosta,Usek,ID mosta,Názov mosta,Rok postavenia,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,LongitudeE,LatitudeN,Vlastník CK,KRAJ,OKRES,PORADIE,POKRAC
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,2,312,M5897,02_002 Most cez potok Brestovec v obci Kopčany,1966,,1.0,6.55,,10.5,8.0,,,Dobrý,dosková,prefabrikovaný železobetón,29.0,64.0,303.0,podľa tabuliek,Vodný tok,17.12331906,48.790152421,Štát,Trnavský kraj,Skalica,3.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,3,307,M1979,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,1962,,1.0,8.0,,9.5,8.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,19.0,49.0,199.0,podľa tabuliek,Vodný tok,17.079098102,48.757287384,Štát,Trnavský kraj,Skalica,4.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,4,271,M6525,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,1967,,3.0,40.0,,10.0,9.0,,,Uspokojivý,dosková,prefabrikovaný predpätý betón,26.0,61.0,178.0,odhadom,Železnica,17.031675254,48.684515442,Štát,Trnavský kraj,Skalica,6.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,5,265,M4584,O2_005 Most cez Zelnický potok pred obcou Kúty,1962,,1.0,3.7,,9.5,8.5,,,Dobrý,dosková,monolitický železobetón,16.0,42.0,316.0,podľa tabuliek,Vodný tok,17.020573721,48.663687978,Štát,Trnavský kraj,Senica,8.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,6,6670,M3053,"02_006 Most nad diaľnicou D2, pri obci Kúty",1980,,3.0,65.0,,13.0,10.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,52.0,188.0,260.0,porovnávací výpočet,Cestná komunikácia,17.001659036,48.639120267,Štát,Trnavský kraj,Senica,14.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,8,8719,M1055,02_008 Most cez kanál pri obci Sekule,1940,,1.0,4.0,,8.1,7.4,,,Dobrý,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,16.995904186,48.600581635,Štát,Trnavský kraj,Senica,17.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,7,8719,M1833,02_007 Most cez rieku Myjava za obcou Kúty,1949,,2.0,22.8,,11.0,10.0,,,Zlý,dosková,monolitický železobetón,20.0,50.0,130.0,porovnávací výpočet,Vodný tok,16.994970512,48.634732118,Štát,Trnavský kraj,Senica,17.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,9,8508,M1839,02_009 Most cez kanál v obci Moravský Svätý Ján,1940,,1.0,4.0,,7.4,6.1,,,Dobrý,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,16.991552442,48.589378839,Štát,Trnavský kraj,Senica,18.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,10,216,M4986,02_010 Most cez potok Lakšár za obcou Moravský Ján,1939,,1.0,12.8,,8.05,6.6,,,Dobrý,trámová,monolitický železobetón,17.0,39.0,112.0,odhadom,Vodný tok,16.993470125,48.572310285,Štát,Trnavský kraj,Senica,19.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,11,8501,M2426,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,1939,,1.0,4.0,,8.2,7.0,,,Dobrý,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,16.982162231,48.534269208,Štát,Bratislavský kraj,Malacky,21.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,13,8502,M139,02_013 Most cez potok Rudava,1977,,1.0,12.9,,10.5,9.5,,,Uspokojivý,trámová,prefabrikovaný predpätý betón,37.0,89.0,258.0,odhadom,Vodný tok,17.009922887,48.489033881,Štát,Bratislavský kraj,Malacky,22.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,12,8502,M2128,02_012 Most cez potok za obcou Veľké Leváre,1977,,1.0,2.1,,10.5,9.5,,,Veľmi dobrý,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Vodný tok,17.003072509,48.499681704,Štát,Bratislavský kraj,Malacky,22.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,15,8502,M24,02_015 Most cez potok Malina v Malackách,1938,,1.0,9.5,,8.0,6.0,,,Uspokojivý,trámová,monolitický železobetón,14.0,31.0,102.0,odhadom,Vodný tok,17.012224814,48.440933137,Štát,Bratislavský kraj,Malacky,22.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,14,8502,M3021,02_014 Most cez kanál za obcou Veľké Leváre,1977,,1.0,2.1,,10.3,9.5,,,Dobrý,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Kanál,17.012068791,48.485986971,Štát,Bratislavský kraj,Malacky,22.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,011A,8502,M6131,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",1975,,2.0,4.55,,10.5,7.8,,,Dobrý,rámová,prefabrikovaný železobetón,21.0,71.0,504.0,projektovaná,,17.003032908,48.499879296,Štát,Bratislavský kraj,Malacky,22.0,1.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,18,9133,M2290,02_018 Most cez jarok Balážka v obci Malacky,1934,,1.0,2.95,,7.45,7.45,,,Dobrý,dosková,monolitický železobetón,11.0,36.0,300.0,odhadom,Vodný tok,17.019061316,48.412613048,Štát,Bratislavský kraj,Malacky,1.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,19,9133,M2334,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,1934,,3.0,32.6,,7.35,5.85,,,Dobrý,trámová,monolitický železobetón,18.0,42.0,98.0,,Železnica,17.016530125,48.398454069,Štát,Bratislavský kraj,Malacky,1.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,20,9133,M5138,02_020 Most cez potok Hlavina,1934,,1.0,6.0,,8.0,7.2,,,Uspokojivý,dosková,monolitický železobetón,15.0,27.0,138.0,odhadom,Vodný tok,17.019896533,48.39305116,Štát,Bratislavský kraj,Malacky,1.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,16,9133,M65,02_016 2.Most cez potok Malina v Malackách,1934,,1.0,7.45,,7.65,7.65,,,Uspokojivý,trámová,monolitický železobetón,13.0,31.0,136.0,odhadom,Vodný tok,17.020628121,48.425106076,Štát,Bratislavský kraj,Malacky,1.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,21,9135,M616,02_021 Most cez potok Štum,1934,,1.0,4.15,,8.35,8.35,,,Dobrý,dosková,monolitický železobetón,13.0,39.0,168.0,podľa tabuliek,Vodný tok,17.016902618,48.364202757,Štát,Bratislavský kraj,Malacky,2.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,22,9136,M6907,02_022 Most cez potok Frikav v k. ú. obce Lozorno,1934,,1.0,4.0,,8.1,7.8,,,Dobrý,dosková,monolitický železobetón,17.0,38.0,219.0,odhadom,Vodný tok,17.019155983,48.346283788,Štát,Bratislavský kraj,Malacky,3.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,24,6671,M5555,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,1973,,3.0,59.9,,13.0,10.5,,,Uspokojivý,rámová,monolitický predpätý betón,19.0,52.0,122.0,odhadom,Cestná komunikácia,17.023798066,48.326810205,Štát,Bratislavský kraj,Malacky,7.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,26,6298,M4332,02_026 Most cez zátokové územie pred Stupavou,1927,,1.0,2.2,,7.85,7.65,,,Dobrý,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Záplavové územie,17.031404597,48.288147531,Štát,Bratislavský kraj,Malacky,12.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,25,6298,M5509,02_025 Most cez Lozorňanský potok,1972,,1.0,5.0,,11.5,10.5,,,Veľmi dobrý,trámová,prefabrikovaný železobetón,36.0,78.0,354.0,odhadom,Vodný tok,17.029249805,48.318007888,Štát,Bratislavský kraj,Malacky,12.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,29,6300,M3838,02_029 Most cez mlynský náhon v obci Stupava,1948,,1.0,3.0,,18.2,13.3,,,Uspokojivý,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Kanál,17.031948416,48.274517135,Štát,Bratislavský kraj,Malacky,14.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,28,6300,M6110,02_028 Most cez potok v Stupave,1966,,1.0,5.9,,14.0,10.0,,,Veľmi dobrý,dosková,prefabrikovaný železobetón,27.0,56.0,160.0,odhadom,Vodný tok,17.031912319,48.274879854,Štát,Bratislavský kraj,Malacky,14.0,4.0
Slovenská správa ciest - IVSC Bratislava,cesta I. triedy,2,30,6917,M2550,02_030 Most cez potok v k.ú. obce Stupava,1961,,1.0,4.0,,9.65,8.55,,,Dobrý,dosková,prefabrikovaný železobetón,18.0,36.0,239.0,odhadom,Vodný tok,17.030527629,48.255456029,Štát,Bratislavský kraj,Malacky,15.0,4.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,31,103319,M2259,,1961,,1.0,4.35,,10.64,10.45,,,Uspokojivý,dosková,prefabrikovaný železobetón,31.8,88.2,156.0,projektovaná,Vodný tok,17.034100573,48.24924125,Bratislava,Bratislavský kraj,Bratislava IV,17.0,4.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,32,8072,M3446,,1961,,1.0,3.22,,11.22,11.22,,,Zlý,dosková,monolitický železobetón,16.0,39.0,210.0,projektovaná,Vodný tok,17.034921066,48.241369836,Bratislava,Bratislavský kraj,Bratislava IV,18.0,4.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,33,61257,M7099,,1946,,1.0,31.0,,14.0,10.0,,,Zlý,klenbová,monolitický železobetón,43.2,86.4,195.7,projektovaná,Železnica,17.047198389,48.189058513,Bratislava,Bratislavský kraj,Bratislava IV,20.0,4.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,34,25372,M6538,,1978,,1.0,4.06,,35.5,20.0,,,Dobrý,trámová,prefabrikovaný železobetón,39.0,144.0,277.0,podľa tabuliek,Miestna komunikácia,17.072509059,48.171003006,Bratislava,Bratislavský kraj,Bratislava IV,1.0,7.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,35,7642,M4156,,1979,,1.0,6.9,,11.0,11.0,,,Uspokojivý,dosková,prefabrikovaný železobetón,24.0,43.0,144.0,porovnávací výpočet,Podchod pre chodcov,17.076409559,48.168776802,Bratislava,Bratislavský kraj,Bratislava IV,1.0,9.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,47,9443,M6994,,1985,,1.0,5.61,,12.0,10.2,,,Zlý,trámová,prefabrikovaný železobetón,28.0,57.0,57.0,porovnávací výpočet,"Miestna komunikácia,  Miestna komunikácia",17.130055519,48.12925187,Bratislava,Bratislavský kraj,Bratislava V,11.0,12.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,48,7598,M7229,,1985,,4.0,108.95,,11.5,10.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,32.0,129.0,266.0,porovnávací výpočet,Miestna komunikácia,17.129935117,48.127563995,Bratislava,Bratislavský kraj,Bratislava V,12.0,12.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,50,7226,M1841,,1985,,4.0,107.96,,11.5,10.5,,,Dobrý,trámová,prefabrikovaný predpätý betón,31.0,124.0,251.0,porovnávací výpočet,Miestna komunikácia,17.128560492,48.112056877,Bratislava,Bratislavský kraj,Bratislava V,18.0,12.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,49,52450,M5333,,1985,,1.0,5.61,,10.2,10.2,,,Veľmi zlý,rámová,monolitický železobetón,41.0,82.0,336.0,podľa tabuliek,"Miestna komunikácia,  Miestna komunikácia",17.131040629,48.125990691,Bratislava,Bratislavský kraj,Bratislava V,5.0,13.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,53,8513,M4655,,1984,,3.0,41.66,,22.5,22.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,19.0,42.0,100.0,porovnávací výpočet,Miestna komunikácia,17.121154224,48.099330476,Bratislava,Bratislavský kraj,Bratislava V,1.0,15.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,52,8513,M626,,1983,,1.0,37.99,,21.5,20.5,,,Uspokojivý,trámová,prefabrikovaný predpätý betón,37.0,166.0,270.0,porovnávací výpočet,Kanál,17.121223223,48.100213801,Bratislava,Bratislavský kraj,Bratislava V,1.0,15.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,51,8513,M7651,,1985,,1.0,4.38,,21.5,21.5,,,Dobrý,trámová,prefabrikovaný železobetón,53.0,89.0,428.0,,Miestna komunikácia,17.126073674,48.109148631,Bratislava,Bratislavský kraj,Bratislava V,1.0,15.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,54,7616,M7468,,1986,,1.0,5.61,,23.9,10.4,,,Veľmi zlý,trámová,prefabrikovaný železobetón,29.0,60.0,0.0,podľa tabuliek,Miestna komunikácia,17.120931869,48.096426792,Bratislava,Bratislavský kraj,Bratislava V,3.0,15.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,040 2,7572,M2301,,1990,,1.0,6.76,,9.0,9.0,,,Dobrý,trámová,prefabrikovaný železobetón,37.0,78.0,317.0,projektovaná,Miestna komunikácia,17.106123715,48.132621202,Bratislava,Bratislavský kraj,Bratislava V,27.0,999.0
Magistrát hlavného mesta SR Bratislava,cesta I. triedy,2,040 1,7579,M1920,,1989,,1.0,6.76,,9.0,9.0,,,Dobrý,trámová,prefabrikovaný železobetón,37.0,81.0,312.0,projektovaná,Miestna komunikácia,17.103763044,48.130647403,Bratislava,Bratislavský kraj,Bratislava V,28.0,999.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava",cesta I. triedy,2,046 1,7599,M2027,,1982,,6.0,215.06,,11.25,9.0,,,Dobrý,trámová,monolitický predpätý betón,27.0,68.0,198.0,projektovaná,Účelová komunikácia,17.133229135,48.130670373,"Národná diaľničná spoločnosť, a.s.",Bratislavský kraj,Bratislava V,29.0,999.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby diaľnic Bratislava",cesta I. triedy,2,122A,8817,M6998,,1000,,,999.0,,,,,,Nezistený,,,0.0,0.0,0.0,,,17.076067394,48.148751341,"Národná diaľničná spoločnosť, a.s.",Bratislavský kraj,Bratislava IV,35.0,999.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,200,9437,M6499,,1953,,1.0,5.0,,12.0,12.0,,,Uspokojivý,dosková,monolitický železobetón,12.0,29.0,187.0,podľa tabuliek,Vodný tok,18.781324783,49.491615851,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,1.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,202,9438,M2061,11_202 Most cez rieku Čerňanka v k.ú. obce Svrčinovec,1931,,1.0,32.0,,6.5,6.5,,,Veľmi dobrý,oblúková,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,18.794048493,49.479899075,Štát,Žilinský kraj,Čadca,2.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,203,34,M3917,"11_203 Most cez potok Čadečka, Čadca, osada Podzávod",1951,,1.0,13.4,,11.0,9.0,,,Uspokojivý,trámová,monolitický železobetón,37.0,58.0,134.0,podľa tabuliek,Vodný tok,18.783305904,49.455058609,Štát,Žilinský kraj,Čadca,3.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,204,26,M5720,11_204 Most cez železnicu v Čadci,1949,,4.0,43.6,,8.0,6.0,,,Uspokojivý,trámová,monolitický železobetón,13.0,22.0,113.0,odhadom,Železnica,18.781299568,49.451919144,Štát,Žilinský kraj,Čadca,4.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,210,8694,M3828,11_210 Most cez bezmenný potok v obci Horelica,1934,,1.0,3.0,,7.6,6.6,,,Uspokojivý,dosková,monolitický železobetón,10.0,32.0,280.0,podľa tabuliek,Vodný tok,18.809551024,49.429605785,Štát,Žilinský kraj,Čadca,7.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,212,8694,M2367,11_212 Most cez potok Jasný v obci Horelica,1953,,1.0,7.0,,11.0,10.0,,,Uspokojivý,dosková,prefabrikovaný železobetón,27.0,75.0,232.0,podľa tabuliek,Vodný tok,18.833868149,49.425029796,Štát,Žilinský kraj,Čadca,7.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,209,8694,M2532,11_209 Most nad MK v meste Čadca,1970,,1.0,6.0,,12.71,10.5,,,Veľmi dobrý,dosková,prefabrikovaný železobetón,30.0,76.0,239.0,projektovaná,Miestna komunikácia,18.799520991,49.428672502,Štát,Žilinský kraj,Čadca,7.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,208,8694,M3289,11_208 Most cez rieku Kysuca a železnicu v Čadci,1970,,13.0,292.1,,13.0,10.5,,,Veľmi zlý,trámová,prefabrikovaný predpätý betón,16.0,45.0,122.0,podľa tabuliek,Vodný tok,18.795975495,49.429738037,Štát,Žilinský kraj,Čadca,7.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,206,8694,M331,11-206 Most cez rieku Kysuca v meste Čadca,1969,,3.0,52.4,,14.5,10.5,,,Zlý,dosková,monolitický železobetón,24.0,67.0,236.0,odhadom,Vodný tok,18.789767168,49.440266018,Štát,Žilinský kraj,Čadca,7.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,211,8694,M6402,11_211 Most cez bezmenný potok v obci Horelica,1934,,1.0,2.6,,8.0,8.0,,,Uspokojivý,klenbová,kameň,8.0,32.0,168.0,podľa tabuliek,Vodný tok,18.830074867,49.42454179,Štát,Žilinský kraj,Čadca,7.0,1.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,213,8690,M1812,11_213 Most cez potok Oščadnica v k.ú. obce Oščadnica,1938,,1.0,26.0,,7.5,6.5,,,Uspokojivý,trámová,monolitický železobetón,10.0,28.0,69.0,podľa tabuliek,Vodný tok,18.837121187,49.420416996,Štát,Žilinský kraj,Čadca,8.0,1.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,215,8952,M2978,,1984,,1.0,6.3,,11.5,11.5,,,Uspokojivý,trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,18.843185112,49.407280781,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,1.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,214,8952,M3024,,1984,,1.0,6.3,,11.5,11.5,,,Uspokojivý,trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,18.840345137,49.412183262,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,1.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,219,2119,M2023,,1984,,1.0,4.02,,13.0,13.0,,,Dobrý,klenbová,oceľ -  plnostenná,34.0,80.0,196.0,podľa tabuliek,Miestna komunikácia,18.840958842,49.376387372,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,5.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,220,2119,M2241,,1984,,1.0,6.76,,12.5,11.5,,,Uspokojivý,trámová,prefabrikovaný predpätý betón,26.0,64.0,157.0,projektovaná,Vodný tok,18.840469287,49.374734822,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,5.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,221,2119,M3378,,1984,,1.0,8.26,,11.5,11.5,,,Uspokojivý,trámová,prefabrikovaný železobetón,26.0,64.0,157.0,projektovaná,Vodný tok,18.833522312,49.36604809,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,5.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,218,2119,M5617,,1984,,1.0,3.7,,41.6,33.0,,,Zlý,dosková,monolitický železobetón,19.0,48.0,118.0,projektovaná,Vodný tok,18.841241127,49.380274885,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,5.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,217,2119,M7227,,1983,,3.0,86.7,,12.87,11.5,,,Uspokojivý,dosková,prefabrikovaný predpätý betón,26.0,64.0,157.0,podľa tabuliek,Miestna komunikácia,18.837550905,49.390312114,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,5.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,216,2119,M99,,1983,,8.0,321.88,,13.36,11.5,,,Uspokojivý,dosková,prefabrikovaný predpätý betón,26.0,64.0,157.0,podľa tabuliek,Cestná komunikácia,18.841030714,49.399699126,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Čadca,5.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,226,2130,M1392,,1971,,1.0,4.0,,11.5,10.5,,,Uspokojivý,dosková,prefabrikovaný železobetón,20.0,64.0,157.0,podľa tabuliek,Vodný tok,18.810024818,49.344276524,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Kysucké Nové Mesto,8.0,2.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,228,69,M115,11_228 Most cez Povinský potok v obci Povina,1971,,1.0,9.05,,13.0,10.5,,,Uspokojivý,dosková,prefabrikovaný železobetón,36.0,84.0,216.0,podľa tabuliek,Vodný tok,18.803998092,49.314030217,Štát,Žilinský kraj,Kysucké Nové Mesto,10.0,2.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,227,69,M7332,11_227 Most cez potok Lodnianka v Kysuckom Lieskovci,1971,,1.0,8.0,,12.25,10.5,,,Dobrý,dosková,prefabrikovaný železobetón,40.0,100.0,255.0,odhadom,Vodný tok,18.808000211,49.334585861,Štát,Žilinský kraj,Kysucké Nové Mesto,10.0,2.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,229,2630,M349,11_229 Most cez Vadičovský potok v obci Radoľa,1971,,1.0,15.4,,12.25,10.5,,,Uspokojivý,dosková,prefabrikovaný predpätý betón,15.0,25.0,101.0,odhadom,Vodný tok,18.789231459,49.297463683,Štát,Žilinský kraj,Kysucké Nové Mesto,12.0,2.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,230,2633,M309,11_230 Most cez potok Snežnica v obci Oškerda,1988,,1.0,10.84,,12.92,11.5,,,Dobrý,dosková,prefabrikovaný predpätý betón,32.0,80.0,196.0,porovnávací výpočet,Vodný tok,18.763207295,49.276479973,Štát,Žilinský kraj,Kysucké Nové Mesto,14.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,232,8633,M4326,,1967,,3.0,59.9,,13.5,11.0,,,Zlý,trámová,prefabrikovaný predpätý betón,25.0,75.0,229.0,podľa tabuliek,Železnica,18.753143306,49.268084431,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Žilina,16.0,2.0
"Národná diaľničná spoločnosť, a.s. - Stredisko správy a údržby rýchlostných ciest Čadca",cesta I. triedy,11,234,8552,M7225,,1980,,1.0,5.26,,12.4,10.25,,,Dobrý,dosková,prefabrikovaný železobetón,30.0,65.0,90.0,porovnávací výpočet,"Vodný tok,  Vodný tok",18.740323462,49.243430786,"Národná diaľničná spoločnosť, a.s.",Žilinský kraj,Žilina,3.0,3.0
Slovenská správa ciest - IVSC Žilina,cesta I. triedy,11,235,9319,M4757,11_235 Most nad železnicou a MK v obci Budatín,1962,,5.0,63.8,,11.75,11.75,,,Veľmi dobrý,trámová,monolitický predpätý betón,32.0,80.0,196.0,projektovaná,Železnica,18.737078985,49.238094513,Štát,Žilinský kraj,Žilina,6.0,3.0
"Žilinské komunikácie, a.s.",cesta I. triedy,11,235B,9320,M4439,,2005,,,999.0,,8.0,,,,Nezistený,dosková,monolitický železobetón,0.0,0.0,0.0,,,18.737813406,49.236560511,Žilinský samosprávny kraj,Žilinský kraj,Žilina,7.0,3.0
