ID_mosta,Zemepisná_dĺžka,Zemepisná_šírka,Počiatočný_uzol,Koncový_uzol,úsek_ID,ID_Mosta,ID_úseku,Start,End,Okres,StartNode_Latitude,StartNode_Longitude,EndNode_Latitude,EndNode_Longitude,Hexagon_Coordinates
M1979,17.079098102,48.757287384,3424A09200,3424A01900,259368,M1979,81866,3424A01900,3424A10900,Skalica,48.72919948,17.04803577,48.79972773,17.15804289,"[(48.757287384, 17.079370628365783), (48.75744297677133, 17.07923436518289), (48.75744297677133, 17.078961838817108), (48.757287384, 17.078825575634216), (48.75713179122867, 17.078961838817108), (48.75713179122867, 17.07923436518289), (48.757287384, 17.079370628365783)]"
M1833,16.994970512,48.634732118,3442A01106,3441A02300,8719,M1833,80070,3441A00200,3442A01106,Senica,,,48.63789248,16.99912278,"[(48.634732118, 16.995242375727763), (48.63488771077133, 16.99510644386388), (48.63488771077133, 16.994834580136118), (48.634732118, 16.994698648272234), (48.634576525228674, 16.994834580136118), (48.634576525228674, 16.99510644386388), (48.634732118, 16.995242375727763)]"
M3446,17.034921066,48.241369836,4422A33200,4422A40300,460524,M3446,80129,4422A05403,4422A32100,Bratislava IV,48.20536649,17.04271821,48.2520919,17.03327754,"[(48.241369836, 17.035190832766478), (48.241525428771325, 17.03505594938324), (48.241525428771325, 17.03478618261676), (48.241369836, 17.03465129923352), (48.24121424322867, 17.03478618261676), (48.24121424322867, 17.03505594938324), (48.241369836, 17.035190832766478)]"
M7099,17.0472,48.18906,4422A45001,4422A45101,460763,M7099,81581,4422A05905,4422A05402,Bratislava IV,48.1818022,17.05559365,48.2042783,17.04304234,"[(48.18906, 17.047469491298028), (48.189215592771326, 17.047334745649014), (48.189215592771326, 17.047065254350986), (48.18906, 17.046930508701973), (48.18890440722867, 17.047065254350986), (48.18890440722867, 17.047334745649014), (48.18906, 17.047469491298028)]"
M5333,17.131040629,48.125990691,4424A02802,4424A52301,7589,M5333,84112,4424A00505,4424A50901,Bratislava V,48.12950472,17.12988218,48.09442764,17.12127473,"[(48.125990691, 17.1313097892143), (48.12614628377133, 17.13117520910715), (48.12614628377133, 17.130906048892854), (48.125990691, 17.130771468785703), (48.12583509822867, 17.130906048892854), (48.12583509822867, 17.13117520910715), (48.125990691, 17.1313097892143)]"
M626,17.121223223,48.100213801,4424A17802,4424A02201,805774,M626,84112,4424A00505,4424A50901,Bratislava V,48.12950472,17.12988218,48.09442764,17.12127473,"[(48.100213801, 17.121492248225785), (48.10036939377133, 17.121357735612893), (48.10036939377133, 17.12108871038711), (48.100213801, 17.120954197774218), (48.100058208228674, 17.12108871038711), (48.100058208228674, 17.121357735612893), (48.100213801, 17.121492248225785)]"
M3917,18.783305904,49.455058609,2613A16300,2613A16400,194286,M3917,90262,2613A00600,2613A16100,Čadca,,,49.46604799,18.82353643,"[(49.455058609, 18.783582289869404), (49.45521420177133, 18.7834440969347), (49.45521420177133, 18.783167711065296), (49.455058609, 18.783029518130594), (49.45490301622867, 18.783167711065296), (49.45490301622867, 18.7834440969347), (49.455058609, 18.783582289869404)]"
M1812,18.837121187,49.420416996,2613A04102,2613A34300,212359,M1812,90270,2613A03316,2613A04102,Čadca,49.40158058,18.84057082,49.42215575,18.83719449,"[(49.420416996, 18.83739737771265), (49.42057258877133, 18.837259282356328), (49.42057258877133, 18.836983091643674), (49.420416996, 18.83684499628735), (49.42026140322867, 18.836983091643674), (49.42026140322867, 18.837259282356328), (49.420416996, 18.83739737771265)]"
M7332,18.808000211,49.334585861,2631A00602,2631A27600,345556,M7332,90290,2631A07800,2631A00602,Kysucké Nové Mesto,49.31204277,18.80222763,49.34077693,18.8096162,"[(49.334585861, 18.80827591979387), (49.33474145377133, 18.808138065396935), (49.33474145377133, 18.807862356603064), (49.334585861, 18.807724502206128), (49.33443026822867, 18.807862356603064), (49.33443026822867, 18.808138065396935), (49.334585861, 18.80827591979387)]"
M349,18.789231459,49.297463683,2631A00901,2631A00905,327896,M349,90291,2631A00901,2631A07800,Kysucké Nové Mesto,49.29770322,18.7896128,49.31204277,18.80222763,"[(49.297463683, 18.789506960074714), (49.297619275771325, 18.78936920953736), (49.297619275771325, 18.78909370846264), (49.297463683, 18.788955957925285), (49.29730809022867, 18.78909370846264), (49.29730809022867, 18.78936920953736), (49.297463683, 18.789506960074714)]"
M3109,21.651586179,49.108988042,2833A10700,2833A03300,151088,M3109,1159,2834B00400,2834B00400,Stropkov,49.07096468,21.68479262,49.07096468,21.68479262,"[(49.108988042, 21.65186063203173), (49.10914363477133, 21.651723405515867), (49.10914363477133, 21.65144895248413), (49.108988042, 21.651311725968267), (49.10883244922867, 21.65144895248413), (49.10883244922867, 21.651723405515867), (49.108988042, 21.65186063203173)]"
M6035,18.743762603,49.213912755,2631A00202,2631A01601,8554,M6035,90094,2631A00222,2631A01601,Žilina,49.21497334,18.73322673,49.21400551,18.74436619,"[(49.213912755, 18.744037638125782), (49.21406834777133, 18.74390012056289), (49.21406834777133, 18.74362508543711), (49.213912755, 18.74348756787422), (49.213757162228674, 18.74362508543711), (49.213757162228674, 18.74390012056289), (49.213912755, 18.744037638125782)]"
M3082,19.060337918,49.128421357,2634A07301,2634A07302,197653,M3082,90149,2634B00200,2634A00500,Martin,49.15088887,19.09633679,49.11377302,19.02271589,"[(49.128421357, 19.060612478587096), (49.12857694977133, 19.06047519829355), (49.12857694977133, 19.060200637706448), (49.128421357, 19.0600633574129), (49.12826576422867, 19.060200637706448), (49.12826576422867, 19.06047519829355), (49.128421357, 19.060612478587096)]"
M1444,19.139376302,49.152015507,2634A00102,2634B00300,1813,M1444,90158,2634B00300,2634B00200,Dolný Kubín,49.15092091,19.14712258,49.15088887,19.09633679,"[(49.152015507, 19.139650993326818), (49.15217109977133, 19.13951364766341), (49.15217109977133, 19.139238956336587), (49.152015507, 19.13910161067318), (49.15185991422867, 19.139238956336587), (49.15185991422867, 19.13951364766341), (49.152015507, 19.139650993326818)]"
M4815,20.308553768,49.0496897,2733A12200,2733A74000,440381,M4815,47,2734A01600,2733A12200,Poprad,49.03258584,20.34272148,49.04999766,20.30557193,"[(49.0496897, 20.308827893554906), (49.04984529277133, 20.308690830777454), (49.04984529277133, 20.308416705222545), (49.0496897, 20.308279642445093), (49.04953410722867, 20.308416705222545), (49.04953410722867, 20.308690830777454), (49.0496897, 20.308827893554906)]"
