ID_mosta	Zemepisná_dĺžka	Zemepisná_šírka	úsek_ID	ID_úseku	Start	End	Okres	StartNode_Latitude	StartNode_Longitude	EndNode_Latitude	EndNode_Longitude	Car_route	Car_alt
M1979	17.0791	48.75729	259368	81866	3424A01900	3424A10900	Skalica	48.7292	17.04804	48.79973	17.15804	{"hints": {"visited_nodes.sum": 164, "visited_nodes.average": 164}, "info": {"copyrights": ["GraphHopper", "OpenStreetMap contributors"], "took": 3, "road_data_timestamp": "2023-12-17T05:00:00Z"}, "paths": [{"distance": 11685.516, "weight": 809.891005, "time": 634610, "transfers": 0, "points_encoded": false, "bbox": [17.048037, 48.7292, 17.158042, 48.800737], "points": {"type": "LineString", "coordinates": [[17.048037, 48.7292], [17.04821, 48.729427], [17.048768, 48.730076], [17.051731, 48.733064], [17.058085, 48.739292], [17.06103, 48.742093], [17.061823, 48.742758], [17.06263, 48.74338], [17.07355, 48.751425], [17.074463, 48.752141], [17.075166, 48.752836], [17.075949, 48.753529], [17.077102, 48.754903], [17.079066, 48.757244], [17.082493, 48.761463], [17.086979, 48.766871], [17.087415, 48.767362], [17.087878, 48.767784], [17.088296, 48.76809], [17.088752, 48.768383], [17.095509, 48.772692], [17.109721, 48.781717], [17.118059, 48.787046], [17.118766, 48.787461], [17.1221, 48.789607], [17.122233, 48.789687], [17.122601, 48.789862], [17.123812, 48.790353], [17.125019, 48.790805], [17.136109, 48.795155], [17.148987, 48.800159], [17.149684, 48.800393], [17.150135, 48.800526], [17.150481, 48.800601], [17.151282, 48.800709], [17.151938, 48.800737], [17.152534, 48.800724], [17.153042, 48.800661], [17.153767, 48.800531], [17.15727, 48.79981], [17.157663, 48.799751], [17.158042, 48.799724]]}, "instructions": [{"street_ref": "2", "distance": 11685.516, "heading": 26.59, "sign": 0, "interval": [0, 41], "text": "Continue onto 2", "time": 634610, "street_name": ""}, {"distance": 0, "sign": 4, "last_heading": 96.30847578354008, "interval": [41, 41], "text": "Arrive at destination", "time": 0, "street_name": ""}], "legs": [], "details": {}, "ascend": 36.0899658203125, "descend": 33.124969482421875, "snapped_waypoints": {"type": "LineString", "coordinates": [[17.048037, 48.7292], [17.158042, 48.799724]]}}]}	{"hints": {"visited_nodes.sum": 2200, "visited_nodes.average": 2200}, "info": {"copyrights": ["GraphHopper", "OpenStreetMap contributors"], "took": 8, "road_data_timestamp": "2023-12-17T05:00:00Z"}, "paths": [{"distance": 18762.46, "weight": 1444.523337, "time": 1163086, "transfers": 0, "points_encoded": false, "bbox": [17.048037, 48.717123, 17.174612, 48.801554], "points": {"type": "LineString", "coordinates": [[17.048037, 48.7292], [17.054445, 48.727805], [17.056892, 48.727277], [17.061425, 48.7263], [17.063722, 48.725801], [17.069121, 48.724611], [17.071247, 48.724185], [17.075754, 48.723353], [17.078744, 48.722807], [17.079345, 48.722725], [17.082796, 48.722467], [17.086404, 48.722362], [17.088957, 48.722294], [17.089897, 48.722246], [17.090367, 48.722184], [17.091116, 48.722159], [17.091565, 48.722166], [17.092717, 48.722247], [17.095765, 48.722555], [17.096736, 48.722614], [17.097189, 48.722604], [17.097831, 48.722514], [17.100225, 48.7219], [17.101093, 48.72171], [17.107122, 48.720519], [17.110309, 48.719782], [17.111004, 48.719564], [17.113905, 48.718426], [17.114562, 48.718151], [17.114974, 48.717896], [17.115023, 48.717816], [17.115141, 48.717785], [17.115242, 48.717811], [17.115295, 48.717871], [17.115718, 48.718036], [17.11664, 48.718313], [17.116948, 48.718365], [17.117363, 48.718397], [17.117663, 48.718394], [17.118391, 48.718338], [17.118692, 48.718359], [17.118899, 48.718413], [17.119016, 48.718463], [17.119114, 48.718541], [17.119468, 48.719197], [17.119587, 48.719271], [17.119727, 48.7193], [17.119853, 48.719303], [17.119939, 48.719286], [17.120021, 48.719247], [17.122251, 48.71726], [17.122389, 48.717161], [17.122511, 48.717123], [17.122591, 48.717127], [17.122739, 48.717163], [17.123542, 48.717486], [17.123861, 48.717571], [17.124793, 48.717668], [17.125164, 48.717748], [17.126091, 48.718084], [17.127249, 48.718558], [17.12788, 48.718838], [17.129267, 48.71957], [17.132447, 48.721299], [17.136457, 48.723445], [17.136767, 48.723637], [17.14024, 48.726218], [17.140649, 48.726571], [17.142475, 48.728236], [17.142724, 48.728399], [17.142946, 48.728485], [17.143182, 48.728551], [17.14363, 48.728597], [17.1445, 48.72865], [17.145569, 48.72867], [17.151154, 48.728401], [17.151648, 48.728351], [17.15207, 48.728257], [17.15354, 48.727823], [17.154741, 48.727422], [17.156586, 48.72662], [17.15683, 48.726489], [17.157041, 48.726323], [17.15718, 48.726132], [17.157605, 48.725333], [17.157738, 48.725154], [17.157908, 48.724974], [17.158078, 48.724839], [17.158458, 48.724616], [17.158927, 48.724395], [17.159689, 48.724105], [17.160816, 48.723882], [17.160904, 48.724258], [17.161088, 48.724696], [17.161677, 48.725657], [17.162137, 48.726504], [17.162351, 48.726966], [17.163171, 48.728909], [17.164478, 48.732257], [17.164684, 48.732699], [17.165065, 48.733425], [17.165453, 48.734014], [17.165649, 48.73426], [17.166151, 48.734783], [17.166431, 48.735154], [17.166778, 48.735709], [17.167126, 48.736335], [17.168183, 48.738587], [17.168987, 48.74036], [17.169809, 48.741815], [17.170555, 48.743072], [17.170703, 48.743378], [17.170733, 48.743576], [17.170518, 48.749923], [17.170472, 48.750307], [17.170337, 48.750818], [17.170353, 48.751709], [17.170958, 48.755938], [17.171075, 48.756365], [17.171857, 48.758149], [17.172451, 48.759655], [17.172776, 48.760905], [17.173003, 48.762706], [17.173128, 48.764913], [17.173201, 48.765861], [17.173421, 48.767558], [17.173874, 48.770668], [17.174251, 48.772971], [17.174501, 48.774666], [17.174612, 48.775895], [17.174611, 48.776318], [17.174582, 48.776554], [17.174523, 48.776787], [17.174409, 48.77705], [17.173219, 48.779436], [17.17305, 48.779714], [17.171543, 48.781762], [17.171361, 48.782138], [17.171262, 48.782505], [17.17078, 48.784834], [17.168575, 48.792615], [17.168444, 48.792954], [17.167195, 48.795669], [17.166985, 48.796178], [17.166805, 48.796482], [17.166525, 48.796863], [17.165245, 48.798175], [17.163243, 48.800587], [17.163018, 48.801011], [17.162923, 48.801134], [17.162738, 48.801271], [17.162227, 48.801554], [17.162075, 48.801344], [17.161865, 48.801125], [17.161305, 48.800728], [17.160417, 48.800221], [17.160025, 48.800042], [17.159804, 48.799959], [17.159244, 48.799815], [17.158891, 48.799755], [17.158688, 48.799736], [17.158042, 48.799724]]}, "instructions": [{"street_ref": "1134", "distance": 5140.026, "heading": 108.25, "sign": 0, "interval": [0, 29], "text": "Continue onto 1134", "time": 377249, "street_name": ""}, {"exit_number": 3, "distance": 458.859, "sign": 6, "exited": true, "turn_angle": -4.42, "interval": [29, 49], "text": "At roundabout, take exit 3 onto Hurbanova", "time": 58997, "street_name": "Hurbanova"}, {"street_ref": "1134", "distance": 2897.638, "sign": 1, "interval": [49, 75], "text": "Turn slight right onto \u00c5\u00a0vermova", "time": 193243, "street_name": "\u00c5\u00a0vermova"}, {"street_ref": "1134", "distance": 909.17, "sign": 0, "interval": [75, 91], "text": "Continue onto 1134", "time": 56595, "street_name": ""}, {"street_ref": "590", "distance": 8969.006, "sign": -2, "interval": [91, 151], "text": "Turn left onto 590", "time": 438226, "street_name": ""}, {"street_ref": "2", "distance": 387.761, "sign": -3, "interval": [151, 161], "text": "Turn sharp left onto Bratislavsk\u00c3\u00a1", "time": 38776, "street_name": "Bratislavsk\u00c3\u00a1"}, {"distance": 0, "sign": 4, "last_heading": 276.3088967018395, "interval": [161, 161], "text": "Arrive at destination", "time": 0, "street_name": ""}], "legs": [], "details": {}, "ascend": 180.49203491210938, "descend": 177.52703857421875, "snapped_waypoints": {"type": "LineString", "coordinates": [[17.048037, 48.7292], [17.158042, 48.799724]]}}]}
M1833	16.99497	48.63473	8719	80070	3441A00200	3442A01106	Senica	48.5862	16.99134	48.63789	16.99912		
M3446	17.03492	48.24137	460524	80129	4422A05403	4422A32100	Bratislava IV	48.20537	17.04272	48.25209	17.03328		
M7099	17.0472	48.18906	460763	81581	4422A05905	4422A05402	Bratislava IV	48.1818	17.05559	48.20428	17.04304		
M5333	17.13104	48.12599	7589	84112	4424A00505	4424A50901	Bratislava V	48.1295	17.12988	48.09443	17.12127		
M626	17.12122	48.10021	805774	84112	4424A00505	4424A50901	Bratislava V	48.1295	17.12988	48.09443	17.12127		
M3917	18.78331	49.45506	194286	90262	2613A00600	2613A16100	Čadca			49.46605	18.82354		
M1812	18.83712	49.42042	212359	90270	2613A03316	2613A04102	Čadca	49.40158	18.84057	49.42216	18.83719		
M7332	18.808	49.33459	345556	90290	2631A07800	2631A00602	Kysucké Nové Mesto	49.31204	18.80223	49.34078	18.80962		
M349	18.78923	49.29746	327896	90291	2631A00901	2631A07800	Kysucké Nové Mesto	49.2977	18.78961	49.31204	18.80223		
