ÚSEK,CESTA,OKRES,Survey
87020,D1,Senec,8 968 49 958 140 59 067
87021,D1,Bratislava II,17 990 77 187 284 95 461
87022,D1,Bratislava II,19 656 80 026 294 99 975
87023,D1,Bratislava II,18 284 82 817 305 101 407
87024,D1,Bratislava II,12 239 58 640 216 71 095
87025,D1,Bratislava II,13 671 69 430 257 83 357
87026,D1,Bratislava V,15 154 58 639 215 74 008
87028,D1,Bratislava II,11 809 63 728 236 75 773
87030,D1,Senec,10 834 47 579 138 58 551
87220,D1,Bratislava III,9 524 54 755 203 64 482
87010,D2,Malacky,10 541 12 313 66 22 920
87011,D2,Bratislava IV,13 233 45 896 219 59 348
87012,D2,Bratislava IV,12 646 52 092 250 64 989
87013,D2,Bratislava V,11 379 22 173 48 33 600
87015,D2,Bratislava V,15 688 78 320 379 94 387
87016,D2,Malacky,13 002 19 350 100 32 452
87017,D2,Bratislava IV,11 712 29 645 145 41 501
87018,D2,Bratislava V,9 201 7 567 33 16 801
87140,D2,Malacky,13 337 25 597 128 39 063
86210,D4,Senec,1 025 12 028 85 13 138
87019,D4,Bratislava V,4 786 12 502 54 17 341
87150,D4,Bratislava V,3 010 11 806 43 14 860
87160,D4,Bratislava II,3 533 16 533 61 20 127
87170,D4,Bratislava II,2 622 14 143 52 16 817
87180,D4,Bratislava II,2 105 9 942 36 12 084
87190,D4,Senec,1 952 8 649 32 10 633
87200,D4,Pezinok,936 5 289 19 6 245
87210,D4,Pezinok,778 5 307 19 6 105
87810,D4,Malacky,1 042 11 173 52 12 267
87820,D4,Bratislava IV,2 158 5 692 28 7 878
86650,R7,Senec,2 883 18 286 67 21 236
86760,R7,Bratislava II,5 098 37 487 137 42 722
80080,2,Malacky,561 4 810 65 5 436
80091,2,Malacky,1 537 16 148 87 17 772
80092,2,Malacky,720 8 683 66 9 469
80093,2,Malacky,964 9 990 87 11 041
80098,2,Malacky,958 8 331 89 9 378
80099,2,Malacky,781 7 903 67 8 751
80100,2,Malacky,793 5 848 62 6 703
80107,2,Malacky,760 5 948 79 6 787
80110,2,Malacky,911 7 423 100 8 434
80111,2,Malacky,1 456 12 329 144 13 929
80113,2,Malacky,1 585 14 548 121 16 254
80121,2,Bratislava I,3 694 36 293 408 40 395
80127,2,Bratislava V,925 14 501 120 15 546
80129,2,Bratislava IV,1 161 13 835 127 15 123
81580,2,Bratislava V,884 13 958 135 14 977
81581,2,Bratislava IV,1 555 13 796 150 15 501
81583_01,2,Bratislava V,1 466 16 749 106 18 321
81583_02,2,Bratislava V,1 737 21 870 152 23 759
84081,2,Bratislava IV,1 446 16 589 96 18 131
84112,2,Bratislava V,1 098 22 006 194 23 298
84113,2,Bratislava V,1 501 22 314 151 23 966
84861_01,2,Bratislava V,1 821 25 241 169 27 231
84861_02,2,Bratislava V,1 768 26 564 205 28 537
84871_01,2,Bratislava V,1 745 24 821 144 26 710
84871_02,2,Bratislava V,1 839 23 305 154 25 298
80130,61,Senec,1 951 10 943 185 13 079
80131,61,Bratislava II,3 946 30 789 429 35 164
80134,61,Bratislava V,472 10 607 76 11 155
80137,61,Senec,1 884 13 440 104 15 428
80138,61,Bratislava II,2 368 17 062 244 19 674
80139,61,Senec,2 776 13 444 206 16 426
80140,61,Senec,1 706 11 140 106 12 952
80141,61,Senec,1 569 16 648 148 18 365
80142,61,Senec,1 063 12 299 105 13 467
80143,61,Senec,1 914 15 157 117 17 188
80144,61,Bratislava II,4 617 29 549 335 34 501
80146,61,Senec,1 963 11 119 143 13 225
80147,61,Senec,1 343 10 665 48 12 056
80150,61,Senec,1 262 10 256 95 11 613
80160,61,Senec,1 013 6 701 74 7 788
80168,61,Senec,785 5 193 73 6 051
80924,61,Bratislava V,328 7 379 80 7 787
84161,61,Bratislava II,3 382 47 970 331 51 683
84162,61,Bratislava II,1 749 19 677 183 21 609
84163,61,Bratislava II,4 028 40 704 353 45 085
84881,61,Bratislava II,3 187 42 375 346 45 908
85451,61,Bratislava II,3 553 46 040 308 49 901
80286,62,Senec,3 137 12 323 96 15 556
80287,62,Senec,2 066 8 608 81 10 755
80288,62,Senec,1 767 6 577 72 8 416
81452,63,Bratislava II,3 066 31 813 218 35 097
81455,63,Bratislava II,4 069 33 853 316 38 238
81457,63,Bratislava II,1 962 14 233 168 16 363
81460,63,Senec,1 456 13 273 175 14 904
81478,63,Senec,877 8 659 68 9 604
86680,63,Bratislava II,1 784 16 650 168 18 602
86740,127,Senec,1 621 6 706 41 8 368
82791,143,Malacky,1 014 4 107 37 5 158
82798,143,Malacky,848 3 402 23 4 273
82799,143,Malacky,871 3 306 33 4 210
81960,501,Malacky,625 5 214 132 5 971
81978,501,Malacky,374 2 554 46 2 974
81979,501,Malacky,340 2 095 48 2 483
81980,501,Malacky,694 3 199 68 3 961
81987,501,Malacky,606 2 756 42 3 404
81990,501,Malacky,643 2 051 42 2 736
80116,502,Pezinok,2 125 15 800 182 18 107
81001,502,Bratislava III,1 694 17 390 154 19 238
81002,502,Bratislava III,1 512 24 165 397 26 074
81004,502,Pezinok,1 609 17 521 282 19 412
81005,502,Bratislava III,789 17 285 270 18 344
81008,502,Bratislava III,1 911 18 894 379 21 184
81009,502,Pezinok,1 727 17 428 284 19 439
81010,502,Pezinok,1 529 16 269 141 17 939
81011,502,Pezinok,1 794 16 722 202 18 718
81012,502,Pezinok,1 716 16 889 171 18 776
81020,502,Pezinok,1 656 12 449 147 14 252
81021,502,Pezinok,1 526 11 528 100 13 154
81022,502,Pezinok,968 6 084 63 7 115
81023,502,Pezinok,937 7 965 84 8 986
81030,502,Pezinok,694 4 914 146 5 754
81040,502,Pezinok,620 3 052 63 3 735
81101,502,Pezinok,1 594 12 537 151 14 282
81096,503,Pezinok,1 621 9 532 87 11 240
81100,503,Pezinok,1 857 10 883 110 12 850
81106,503,Pezinok,691 5 265 294 6 250
81107,503,Pezinok,518 4 061 208 4 787
81110,503,Malacky,553 3 426 126 4 105
81120,503,Malacky,528 3 318 42 3 888
81121,503,Malacky,1 693 11 201 107 13 001
81122,503,Malacky,1 345 14 997 78 16 420
81619,503,Senec,1 092 4 866 49 6 007
81627,503,Senec,2 760 16 247 119 19 126
81629,503,Senec,1 660 8 190 71 9 921
82770,503,Malacky,800 6 458 96 7 354
82771,503,Malacky,844 7 795 67 8 706
82778,503,Malacky,346 2 590 23 2 959
82786,503,Malacky,240 1 308 23 1 571
82020,504,Pezinok,471 3 420 17 3 908
82030,504,Pezinok,525 3 940 19 4 484
82038,504,Pezinok,741 5 407 46 6 194
82090,505,Bratislava IV,1 001 9 855 79 10 935
82095,505,Malacky,316 3 596 38 3 950
85381,505,Bratislava IV,1 327 14 549 105 15 981
82846,510,Senec,834 7 586 57 8 477
82847,510,Senec,785 6 475 61 7 321
82848,510,Senec,258 1 546 27 1 831
80122,572,Bratislava I,2 284 26 884 134 29 302
80132,572,Bratislava II,2 507 30 491 404 33 402
80133,572,Bratislava I,3 444 30 744 278 34 466
80135,572,Bratislava III,2 813 27 386 317 30 516
81582,572,Bratislava I,4 062 29 479 351 33 892
82650,572,Senec,1 059 11 707 85 12 851
82651,572,Bratislava II,725 10 137 129 10 991
82652,572,Bratislava II,1 111 14 537 168 15 816
82653,572,Bratislava II,1 190 12 588 54 13 832
82658,572,Bratislava II,951 8 630 96 9 677
82668,572,Senec,468 4 699 19 5 186
86610,572A,Bratislava II,427 3 657 29 4 113
86620,572A,Bratislava II,747 7 193 54 7 994
86730,572A,Senec,976 9 442 58 10 476
82801,590,Malacky,517 4 181 45 4 743
82808,590,Malacky,400 3 415 24 3 839
82809,590,Malacky,386 2 601 29 3 016
86001,1020,Bratislava V,461 4 203 33 4 697
86711,1030,Bratislava II,535 5 200 35 5 770
86720,1030,Senec,350 3 344 33 3 727
85700,1041,Senec,728 5 669 69 6 466
85701,1041,Senec,1 198 11 947 143 13 288
85702,1041,Senec,754 6 823 97 7 674
82821,1043,Senec,892 8 397 107 9 396
82829,1043,Senec,399 2 902 46 3 347
86240,1044,Senec,181 955 23 1 159
84050,1046,Pezinok,450 2 888 35 3 373
84051,1046,Pezinok,837 4 259 50 5 146
84056,1046,Pezinok,615 4 477 29 5 121
85703,1048,Senec,763 7 852 220 8 835
86380,1048,Senec,341 3 479 33 3 853
86390,1048,Senec,655 7 077 77 7 809
85481,1049,Senec,1 571 10 501 83 12 155
86460,1049,Senec,467 3 296 34 3 797
86470,1049,Senec,260 2 090 20 2 370
