ÚSEK,CESTA,OKRES,T,O,M,S
87020,D1,Senec,8968,49958,140,59067
87021,D1,Bratislava II,17990,77187,284,95461
87022,D1,Bratislava II,19656,80026,294,99975
87023,D1,Bratislava II,18284,82817,305,101407
87024,D1,Bratislava II,12239,58640,216,71095
87025,D1,Bratislava II,13671,69430,257,83357
87026,D1,Bratislava V,15154,58639,215,74008
87028,D1,Bratislava II,11809,63728,236,75773
87030,D1,Senec,10834,47579,138,58551
87220,D1,Bratislava III,9524,54755,203,64482
87010,D2,Malacky,10541,12313,66,22920
87011,D2,Bratislava IV,13233,45896,219,59348
87012,D2,Bratislava IV,12646,52092,250,64989
87013,D2,Bratislava V,11379,22173,48,33600
87015,D2,Bratislava V,15688,78320,379,94387
87016,D2,Malacky,13002,19350,100,32452
87017,D2,Bratislava IV,11712,29645,145,41501
87018,D2,Bratislava V,9201,7567,33,16801
87140,D2,Malacky,13337,25597,128,39063
86210,D4,Senec,1025,12028,85,13138
87019,D4,Bratislava V,4786,12502,54,17341
87150,D4,Bratislava V,3010,11806,43,14860
87160,D4,Bratislava II,3533,16533,61,20127
87170,D4,Bratislava II,2622,14143,52,16817
87180,D4,Bratislava II,2105,9942,36,12084
87190,D4,Senec,1952,8649,32,10633
87200,D4,Pezinok,936,5289,19,6245
87210,D4,Pezinok,778,5307,19,6105
87810,D4,Malacky,1042,11173,52,12267
87820,D4,Bratislava IV,2158,5692,28,7878
86650,R7,Senec,2883,18286,67,21236
86760,R7,Bratislava II,5098,37487,137,42722
80080,2,Malacky,561,4810,65,5436
80091,2,Malacky,1537,16148,87,17772
80092,2,Malacky,720,8683,66,9469
80093,2,Malacky,964,9990,87,11041
80098,2,Malacky,958,8331,89,9378
80099,2,Malacky,781,7903,67,8751
80100,2,Malacky,793,5848,62,6703
80107,2,Malacky,760,5948,79,6787
80110,2,Malacky,911,7423,100,8434
80111,2,Malacky,1456,12329,144,13929
80113,2,Malacky,1585,14548,121,16254
80121,2,Bratislava I,3694,36293,408,40395
80127,2,Bratislava V,925,14501,120,15546
80129,2,Bratislava IV,1161,13835,127,15123
81580,2,Bratislava V,884,13958,135,14977
81581,2,Bratislava IV,1555,13796,150,15501
81583_01,2,Bratislava V,1466,16749,106,18321
81583_02,2,Bratislava V,1737,21870,152,23759
84081,2,Bratislava IV,1446,16589,96,18131
84112,2,Bratislava V,1098,22006,194,23298
84113,2,Bratislava V,1501,22314,151,23966
84861_01,2,Bratislava V,1821,25241,169,27231
84861_02,2,Bratislava V,1768,26564,205,28537
84871_01,2,Bratislava V,1745,24821,144,26710
84871_02,2,Bratislava V,1839,23305,154,25298
80130,61,Senec,1951,10943,185,13079
80131,61,Bratislava II,3946,30789,429,35164
80134,61,Bratislava V,472,10607,76,11155
80137,61,Senec,1884,13440,104,15428
80138,61,Bratislava II,2368,17062,244,19674
80139,61,Senec,2776,13444,206,16426
80140,61,Senec,1706,11140,106,12952
80141,61,Senec,1569,16648,148,18365
80142,61,Senec,1063,12299,105,13467
80143,61,Senec,1914,15157,117,17188
80144,61,Bratislava II,4617,29549,335,34501
80146,61,Senec,1963,11119,143,13225
80147,61,Senec,1343,10665,48,12056
80150,61,Senec,1262,10256,95,11613
80160,61,Senec,1013,6701,74,7788
80168,61,Senec,785,5193,73,6051
80924,61,Bratislava V,328,7379,80,7787
84161,61,Bratislava II,3382,47970,331,51683
84162,61,Bratislava II,1749,19677,183,21609
84163,61,Bratislava II,4028,40704,353,45085
84881,61,Bratislava II,3187,42375,346,45908
85451,61,Bratislava II,3553,46040,308,49901
80286,62,Senec,3137,12323,96,15556
80287,62,Senec,2066,8608,81,10755
80288,62,Senec,1767,6577,72,8416
81452,63,Bratislava II,3066,31813,218,35097
81455,63,Bratislava II,4069,33853,316,38238
81457,63,Bratislava II,1962,14233,168,16363
81460,63,Senec,1456,13273,175,14904
81478,63,Senec,877,8659,68,9604
86680,63,Bratislava II,1784,16650,168,18602
86740,127,Senec,1621,6706,41,8368
82791,143,Malacky,1014,4107,37,5158
82798,143,Malacky,848,3402,23,4273
82799,143,Malacky,871,3306,33,4210
81960,501,Malacky,625,5214,132,5971
81978,501,Malacky,374,2554,46,2974
81979,501,Malacky,340,2095,48,2483
81980,501,Malacky,694,3199,68,3961
81987,501,Malacky,606,2756,42,3404
81990,501,Malacky,643,2051,42,2736
80116,502,Pezinok,2125,15800,182,18107
81001,502,Bratislava III,1694,17390,154,19238
81002,502,Bratislava III,1512,24165,397,26074
81004,502,Pezinok,1609,17521,282,19412
81005,502,Bratislava III,789,17285,270,18344
81008,502,Bratislava III,1911,18894,379,21184
81009,502,Pezinok,1727,17428,284,19439
81010,502,Pezinok,1529,16269,141,17939
81011,502,Pezinok,1794,16722,202,18718
81012,502,Pezinok,1716,16889,171,18776
81020,502,Pezinok,1656,12449,147,14252
81021,502,Pezinok,1526,11528,100,13154
81022,502,Pezinok,968,6084,63,7115
81023,502,Pezinok,937,7965,84,8986
81030,502,Pezinok,694,4914,146,5754
81040,502,Pezinok,620,3052,63,3735
81101,502,Pezinok,1594,12537,151,14282
81096,503,Pezinok,1621,9532,87,11240
81100,503,Pezinok,1857,10883,110,12850
81106,503,Pezinok,691,5265,294,6250
81107,503,Pezinok,518,4061,208,4787
81110,503,Malacky,553,3426,126,4105
81120,503,Malacky,528,3318,42,3888
81121,503,Malacky,1693,11201,107,13001
81122,503,Malacky,1345,14997,78,16420
81619,503,Senec,1092,4866,49,6007
81627,503,Senec,2760,16247,119,19126
81629,503,Senec,1660,8190,71,9921
82770,503,Malacky,800,6458,96,7354
82771,503,Malacky,844,7795,67,8706
82778,503,Malacky,346,2590,23,2959
82786,503,Malacky,240,1308,23,1571
82020,504,Pezinok,471,3420,17,3908
82030,504,Pezinok,525,3940,19,4484
82038,504,Pezinok,741,5407,46,6194
82090,505,Bratislava IV,1001,9855,79,10935
82095,505,Malacky,316,3596,38,3950
85381,505,Bratislava IV,1327,14549,105,15981
82846,510,Senec,834,7586,57,8477
82847,510,Senec,785,6475,61,7321
82848,510,Senec,258,1546,27,1831
80122,572,Bratislava I,2284,26884,134,29302
80132,572,Bratislava II,2507,30491,404,33402
80133,572,Bratislava I,3444,30744,278,34466
80135,572,Bratislava III,2813,27386,317,30516
81582,572,Bratislava I,4062,29479,351,33892
82650,572,Senec,1059,11707,85,12851
82651,572,Bratislava II,725,10137,129,10991
82652,572,Bratislava II,1111,14537,168,15816
82653,572,Bratislava II,1190,12588,54,13832
82658,572,Bratislava II,951,8630,96,9677
82668,572,Senec,468,4699,19,5186
86610,572A,Bratislava II,427,3657,29,4113
86620,572A,Bratislava II,747,7193,54,7994
86730,572A,Senec,976,9442,58,10476
82801,590,Malacky,517,4181,45,4743
82808,590,Malacky,400,3415,24,3839
82809,590,Malacky,386,2601,29,3016
86001,1020,Bratislava V,461,4203,33,4697
86711,1030,Bratislava II,535,5200,35,5770
86720,1030,Senec,350,3344,33,3727
85700,1041,Senec,728,5669,69,6466
85701,1041,Senec,1198,11947,143,13288
85702,1041,Senec,754,6823,97,7674
82821,1043,Senec,892,8397,107,9396
82829,1043,Senec,399,2902,46,3347
86240,1044,Senec,181,955,23,1159
84050,1046,Pezinok,450,2888,35,3373
84051,1046,Pezinok,837,4259,50,5146
84056,1046,Pezinok,615,4477,29,5121
85703,1048,Senec,763,7852,220,8835
86380,1048,Senec,341,3479,33,3853
86390,1048,Senec,655,7077,77,7809
85481,1049,Senec,1571,10501,83,12155
86460,1049,Senec,467,3296,34,3797
86470,1049,Senec,260,2090,20,2370
85740,1053,Senec,472,4455,80,5007
85750,1053,Senec,447,3371,32,3850
86490,1054,Senec,320,1924,16,2260
86480,1055,Senec,334,3092,29,3455
86510,1056,Senec,394,3290,55,3739
86520,1056,Senec,393,3156,59,3608
86330,1057,Senec,264,2167,21,2452
86340,1058,Senec,251,2337,20,2608
86230,1059,Senec,264,2141,20,2425
86090,1062,Senec,740,8778,56,9574
86100,1062,Senec,224,1443,26,1693
86110,1062,Senec,487,3793,33,4313
86118,1062,Senec,416,1762,26,2204
86360,1065,Senec,426,3351,71,3848
86370,1065,Senec,526,2824,51,3401
82986,1067,Senec,712,4011,37,4760
83761,1082,Bratislava III,839,10523,145,11507
86220,1082,Pezinok,449,5749,90,6288
85720,1083,Pezinok,597,6441,72,7110
85730,1083,Pezinok,676,5403,70,6149
86350,1083,Senec,467,4677,59,5203
86088,1084,Pezinok,543,4256,57,4856
