Name,Bridge ID,Reconstruction,Condition,Length,Geolocation,Material
Most cez záchytný kanál pred obcou Záhor,M7170,TRUE,7,,https://maps.app.goo.gl/DviwreT9Y1Ydk9FM6,precast prestressed concrete
Most nadcestie trať ČSD Košice - Žilina,M1910,FALSE,7,"37,5",https://maps.app.goo.gl/zcnmgKNodb9PVgwy9,precast prestressed concrete
Most cez potok Čierna Voda za obcou Stretava,M4356,TRUE,7,,https://maps.app.goo.gl/MbAobZe4kYBsZ23E8,precast prestressed concrete
Most cez rieku Ondava pri obci Sírnik,M2774,TRUE,7,,https://maps.app.goo.gl/94MyhXGo1T5GRytj6,precast prestressed concrete
Most cez Levočský potok v obci Harichovce,M6258,FALSE,7,"17,6",https://maps.app.goo.gl/bXDaZBvvburvy38t6,precast prestressed concrete
Most cez potok Hnilca v meste Spišská Nová Ves,M4129,FALSE,6,"43,86",https://maps.app.goo.gl/f2NnofP7x4jp97i4A,precast prestressed concrete
Most Spišská Nová Ves - zdravotnícky areál,M3907,FALSE,6,"8,35",https://maps.app.goo.gl/HokdCuaG3phzwCXz9,precast prestressed concrete
Most cez rieku Hnilec v obci Mlynky,M4697,FALSE,6,"10,81",https://maps.app.goo.gl/zh7LtsFvkimaTpj98,precast prestressed concrete
Most cez Klčovský potok pred obcou Bystrany,M953,FALSE,6,"12,5",https://maps.app.goo.gl/VKA5bjELBKudVpwH8,precast prestressed concrete
Most - nadcestie cez ŽSR za mestom Spišská Nová Ves,M6714,FALSE,6,38,https://maps.app.goo.gl/cspbkZ2eKXyEErzu9,precast prestressed concrete
Most cez rieku Hnilec v obci Nálepkovo,M6229,FALSE,6,"17,8",https://maps.app.goo.gl/7v2bkb8ZV1DNADQm9,precast prestressed concrete
Cestný nadjazd nad železničnou traťou,M3896,FALSE,6,"49,8",https://maps.app.goo.gl/isNMU7fkwVF3hFpHA,precast prestressed concrete
Most cez potok Helmec,M1327,FALSE,6,"15,3",https://maps.app.goo.gl/Cbcpit7WJJqCUYaN8,precast prestressed concrete
Most cez inundačný kanál pred obcou Vojany,M1683,FALSE,6,57,https://maps.app.goo.gl/zSwU5yxf4YdJR26cA,precast prestressed concrete
Most cez rieku Laborec pred obcou Vojany,M1510,FALSE,6,"126,54",https://maps.app.goo.gl/gPWvpN8cQM9X3p3d8,precast prestressed concrete
Most cez železničné vlečky za obcou Vojany,M3088,FALSE,6,"69,58",https://maps.app.goo.gl/y6khQXwompELx5Bt5,precast prestressed concrete
Most pred mestom Veľké Kapušany,M6042,FALSE,6,"13,96",https://maps.app.goo.gl/PsvRYqxYZ4qjNtic6,precast prestressed concrete
Most cez rameno jazera Ortov za os. Ortov,M1027,FALSE,6,"13,2",https://maps.app.goo.gl/QD4BFejSbKXwMbCk6,precast prestressed concrete
