ID mosta,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Okres,Longitude,Latitude,Material,Názov mosta,Dĺžka premostenia,Rok postavenia,Volná šírka mosta,Normána zaťažiteľnost,Trieda PK,Kraj,n_2012,n_2013,n_2014,n_2015,n_2016,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023
M5897,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Skalica,17.12331906,48.790152421,prefabrikovaný železobetón,02_002 Most cez potok Brestovec v obci Kopčany,6.55,1966,10.5,29.0,cesta I. triedy,Trnava,3,3,3,3,3,5,5,5,5,5,5,5
M1979,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Skalica,17.079098102,48.757287384,prefabrikovaný predpätý betón,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,8.0,1962,9.5,19.0,cesta I. triedy,Trnava,3,3,3,3,3,6,6,6,6,6,6,6
M6525,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Skalica,17.031675254,48.684515442,prefabrikovaný predpätý betón,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,40.0,1967,10.0,26.0,cesta I. triedy,Trnava,4,4,4,4,4,4,4,4,4,4,4,4
M4584,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Uspokojivý,Senica,17.020573721,48.663687978,monolitický železobetón,O2_005 Most cez Zelnický potok pred obcou Kúty,3.7,1962,9.5,16.0,cesta I. triedy,Trnava,3,3,3,3,3,3,3,3,3,3,3,4
M3053,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Senica,17.00166,48.63912,monolitický predpätý betón,"02_006 Most nad diaľnicou D2, pri obci Kúty",65.0,1980,13.0,52.0,cesta I. triedy,Trnava,3,3,4,4,4,4,4,4,4,5,5,5
M1833,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Senica,16.994970512,48.634732118,monolitický železobetón,02_007 Most cez rieku Myjava za obcou Kúty,22.8,1949,11.0,13.0,cesta I. triedy,Trnava,5,5,5,5,5,5,5,5,5,6,6,6
M1055,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Senica,16.995904186,48.600581635,monolitický železobetón,02_008 Most cez kanál pri obci Sekule,4.0,1940,8.1,11.0,cesta I. triedy,Trnava,3,3,3,3,3,6,6,6,6,6,6,6
M1839,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Veľmi zlý,Senica,16.991552442,48.589378839,monolitický železobetón,02_009 Most cez kanál v obci Moravský Svätý Ján,4.0,1940,7.4,15.0,cesta I. triedy,Trnava,3,3,3,3,3,6,6,6,6,6,6,6
M4986,Dobrý,Dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Zlý,Zlý,Zlý,Senica,16.993470125,48.572310285,monolitický železobetón,02_010 Most cez potok Lakšár za obcou Moravský Ján,12.8,1939,8.05,17.0,cesta I. triedy,Trnava,3,3,4,4,4,4,4,4,4,5,5,5
M2426,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Malacky,16.982162231,48.534269208,monolitický železobetón,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,4.0,1939,8.2,11.0,cesta I. triedy,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5
M6131,Dobrý,Dobrý,Dobrý,Dobrý,Dobrý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Zlý,Malacky,17.003072509,48.499681704,prefabrikovaný železobetón,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",4.55,1975,10.5,21.0,cesta I. triedy,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5
M2128,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Veľmi dobrý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Uspokojivý,Malacky,17.00391,48.49701,monolitický železobetón,02_012 Most cez potok za obcou Veľké Leváre,2.1,1977,10.5,21.0,cesta I. triedy,Bratislava,2,2,2,2,2,4,4,4,4,4,4,4
