Bridge_ID,District,Latitude,Longitude,Material,Bridge_Name,Bridge_Length,Year_of_Construction,Bridge_Width,Load_Capacity,Road_Class,Type_of_Structure,Bridge_Purpose,Administrator,Road_Number,Region,num_2012,num_2013,num_2014,num_2015,num_2016,num_2017,num_2018,num_2019,num_2020,num_2021,num_2022,num_2023
M5897,Skalica,48.790152421,17.12331906,prefabrikovaný železobetón,02_002 Most cez potok Brestovec v obci Kopčany,6.55,1966.0,10.5,29.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Trnava,3,3,3,3,3,5,5,5,5,5,5,5
M1979,Skalica,48.757287384,17.079098102,prefabrikovaný predpätý betón,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,8.0,1962.0,9.5,19.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Trnava,3,3,3,3,3,6,6,6,6,6,6,6
M6525,Skalica,48.684515442,17.031675254,prefabrikovaný predpätý betón,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,40.0,1967.0,10.0,26.0,cesta I. triedy,dosková,Železnica,SSC - IVSC BA,2,Trnava,4,4,4,4,4,4,4,4,4,4,4,4
M4584,Senica,48.663687978,17.020573721,monolitický železobetón,O2_005 Most cez Zelnický potok pred obcou Kúty,3.7,1962.0,9.5,16.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Trnava,3,3,3,3,3,3,3,3,3,3,3,4
M3053,Senica,48.63912,17.00166,monolitický predpätý betón,"02_006 Most nad diaľnicou D2, pri obci Kúty",65.0,1980.0,13.0,52.0,cesta I. triedy,trámová,Cestná komunikácia,SSC - IVSC BA,2,Trnava,3,3,4,4,4,4,4,4,4,5,5,5
M1833,Senica,48.634732118,16.994970512,monolitický železobetón,02_007 Most cez rieku Myjava za obcou Kúty,22.8,1949.0,11.0,13.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Trnava,5,5,5,5,5,5,5,5,5,6,6,6
M1055,Senica,48.600581635,16.995904186,monolitický železobetón,02_008 Most cez kanál pri obci Sekule,4.0,1940.0,8.1,11.0,cesta I. triedy,dosková,Kanál,SSC - IVSC BA,2,Trnava,3,3,3,3,3,6,6,6,6,6,6,6
M1839,Senica,48.589378839,16.991552442,monolitický železobetón,02_009 Most cez kanál v obci Moravský Svätý Ján,4.0,1940.0,7.4,15.0,cesta I. triedy,dosková,Kanál,SSC - IVSC BA,2,Trnava,3,3,3,3,3,6,6,6,6,6,6,6
M4986,Senica,48.572310285,16.993470125,monolitický železobetón,02_010 Most cez potok Lakšár za obcou Moravský Ján,12.8,1939.0,8.05,17.0,cesta I. triedy,trámová,Vodný tok,SSC - IVSC BA,2,Trnava,3,3,4,4,4,4,4,4,4,5,5,5
M2426,Malacky,48.534269208,16.982162231,monolitický železobetón,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,4.0,1939.0,8.2,11.0,cesta I. triedy,dosková,Vodný tok,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5
M6131,Malacky,48.499681704,17.003072509,prefabrikovaný železobetón,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",4.55,1975.0,10.5,21.0,cesta I. triedy,rámová,Nezistený,SSC - IVSC BA,2,Bratislava,3,3,3,3,3,5,5,5,5,5,5,5
