Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,Usek,Poc. Uzol,Konc. Uzol,Usekove stanicenie zac. objektu,Kumul. stanicenie zaciatku objektu,LongitudeE,LatitudeN,VyskaH,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Ev. dlzka useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie
cesta I. triedy,2,2,M5897,02_002 Most cez potok Brestovec v obci Kopčany,,1966.0,,,1.0,6.55,,10.5,8.0,,,Dobrý,259391.0,3424A11500,3424A11600,142,4542.0,17.12331906,48.790152421,163.81625,6.55,dosková,prefabrikovaný železobetón,29.0,64.0,303.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,247.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,15.0
cesta I. triedy,2,3,M1979,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,,1962.0,,,1.0,8.0,,9.5,8.5,,,Dobrý,259371.0,3424A09500,3424A01900,521,9474.0,17.079098102,48.757287384,162.974249,8.0,dosková,prefabrikovaný predpätý betón,19.0,49.0,199.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,4421.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,31.0
cesta I. triedy,2,4,M6525,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,,1967.0,,,3.0,40.0,,10.0,9.0,,,Uspokojivý,259340.0,3424A06400,3442A04800,706,18691.0,17.031675254,48.684515442,168.96875,40.0,dosková,prefabrikovaný predpätý betón,26.0,61.0,178.0,odhadom,Železnica,0.0,medzikrižovatkový,1050.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,36.0
cesta I. triedy,2,5,M4584,O2_005 Most cez Zelnický potok pred obcou Kúty,,1962.0,,,1.0,3.7,,9.5,8.5,,,Dobrý,284171.0,3442A27200,3442A27300,2,21159.0,17.020573721,48.663687978,155.871499,3.7,dosková,monolitický železobetón,16.0,42.0,316.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,200.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,51.0
cesta I. triedy,2,6,M3053,"02_006 Most nad diaľnicou D2, pri obci Kúty",,1980.0,,,3.0,65.0,,13.0,10.5,,,Uspokojivý,6670.0,3442A01113,3442A01109,140,24376.0,17.001659036,48.639120267,161.483999,65.0,trámová,prefabrikovaný predpätý betón,52.0,188.0,260.0,porovnávací výpočet,Cestná komunikácia,0.0,lúč,270.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,65.0
cesta I. triedy,2,7,M1833,02_007 Most cez rieku Myjava za obcou Kúty,,1949.0,,,2.0,22.8,,11.0,10.0,,,Zlý,8719.0,3442A01106,3441A02100,452,25093.0,16.994970512,48.634732118,153.17525,22.8,dosková,monolitický železobetón,20.0,50.0,130.0,porovnávací výpočet,Vodný tok,0.0,medzikrižovatkový,1685.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,68.0
cesta I. triedy,2,8,M1055,02_008 Most cez kanál pri obci Sekule,,1940.0,,,1.0,4.0,,8.1,7.4,,,Dobrý,284190.0,3441A02700,3441A02800,152,29096.0,16.995904186,48.600581635,150.6425,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,456.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,75.0
cesta I. triedy,2,9,M1839,02_009 Most cez kanál v obci Moravský Svätý Ján,,1940.0,,,1.0,4.0,,7.4,6.1,,,Dobrý,8508.0,3441A00500,3441A00200,323,30390.0,16.991552442,48.589378839,149.679499,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,683.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,78.0
cesta I. triedy,2,10,M4986,02_010 Most cez potok Lakšár za obcou Moravský Ján,,1939.0,,,1.0,12.8,,8.05,6.6,,,Uspokojivý,283485.0,3441A01200,3441A01300,829,32300.0,16.993470125,48.572310285,151.34075,12.8,trámová,monolitický železobetón,17.0,39.0,112.0,odhadom,Vodný tok,0.0,medzikrižovatkový,884.0,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,83.0
cesta I. triedy,2,11,M2426,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,,1939.0,,,1.0,4.0,,8.2,7.0,,,Dobrý,8501.0,3441A00400,3441A03200,877,36652.0,16.982162231,48.534269208,150.758,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,2632.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,88.0
cesta I. triedy,2,011A,M6131,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",,1975.0,,,2.0,4.55,,10.5,7.8,,,Dobrý,426555.0,3444A11800,3444A11900,80,40805.0,17.003032908,48.499879296,0.0,4.55,rámová,prefabrikovaný železobetón,21.0,71.0,504.0,projektovaná,,0.0,medzikrižovatkový,113.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,98.0
cesta I. triedy,2,12,M2128,02_012 Most cez potok za obcou Veľké Leváre,,1977.0,,,1.0,2.1,,10.5,9.5,,,Veľmi dobrý,426555.0,3444A11800,3444A11900,103,40828.0,17.003072509,48.499681704,159.119999,2.1,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,113.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,98.0
cesta I. triedy,2,13,M139,02_013 Most cez potok Rudava,,1977.0,,,1.0,12.9,,10.5,9.5,,,Uspokojivý,426559.0,3444A12200,3444A12300,434,42120.0,17.009922887,48.489033881,155.96025,12.9,trámová,prefabrikovaný predpätý betón,37.0,89.0,258.0,odhadom,Vodný tok,0.0,medzikrižovatkový,479.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,102.0
cesta I. triedy,2,14,M3021,02_014 Most cez kanál za obcou Veľké Leváre,,1977.0,,,1.0,2.1,,10.3,9.5,,,Dobrý,426560.0,3444A12300,3444A12400,335,42500.0,17.012068791,48.485986971,154.750249,2.1,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,2101.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,103.0
cesta I. triedy,2,15,M24,02_015 Most cez potok Malina v Malackách,,1938.0,,,1.0,9.5,,8.0,6.0,,,Uspokojivý,426574.0,3444A13700,3444A13800,117,47538.0,17.012224814,48.440933137,160.031,9.5,trámová,monolitický železobetón,14.0,31.0,102.0,odhadom,Vodný tok,0.0,medzikrižovatkový,141.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,117.0
cesta I. triedy,2,16,M65,02_016 2.Most cez potok Malina v Malackách,,1934.0,,,1.0,7.45,,7.65,7.65,,,Uspokojivý,426591.0,3444A14600,3444A14700,145,49566.0,17.020628121,48.425106076,162.101999,7.45,trámová,monolitický železobetón,13.0,31.0,136.0,odhadom,Vodný tok,0.0,medzikrižovatkový,252.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,133.0
cesta I. triedy,2,18,M2290,02_018 Most cez jarok Balážka v obci Malacky,,1934.0,,,1.0,2.95,,7.45,7.45,,,Dobrý,426595.0,3444A15000,3444A15100,294,50938.0,17.019061316,48.412613048,163.311749,2.95,dosková,monolitický železobetón,11.0,36.0,300.0,odhadom,Vodný tok,0.0,medzikrižovatkový,1691.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,137.0
cesta I. triedy,2,19,M2334,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,,1934.0,,,3.0,32.6,,7.35,5.85,,,Dobrý,426596.0,3444A15100,3444A15200,254,52589.0,17.016530125,48.398454069,178.48325,32.6,trámová,monolitický železobetón,18.0,42.0,98.0,,Železnica,0.0,medzikrižovatkový,605.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,138.0
cesta I. triedy,2,20,M5138,02_020 Most cez potok Hlavina,,1934.0,,,1.0,6.0,,8.0,7.2,,,Uspokojivý,426597.0,3444A15200,3444A15300,331,53271.0,17.019896533,48.39305116,167.8405,6.0,dosková,monolitický železobetón,15.0,27.0,138.0,odhadom,Vodný tok,0.0,medzikrižovatkový,990.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,139.0
cesta I. triedy,2,21,M616,02_021 Most cez potok Štum,,1934.0,,,1.0,4.15,,8.35,8.35,,,Dobrý,426497.0,3444A09700,3444A03700,219,56516.0,17.016902618,48.364202757,164.361,4.15,dosková,monolitický železobetón,13.0,39.0,168.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,529.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,143.0
cesta I. triedy,2,22,M6907,02_022 Most cez potok Frikav v k. ú. obce Lozorno,,1934.0,,,1.0,4.0,,8.1,7.8,,,Dobrý,429544.0,3444A22900,4422A02200,11,58550.0,17.019155983,48.346283788,164.347999,4.0,dosková,monolitický železobetón,17.0,38.0,219.0,odhadom,Vodný tok,0.0,medzikrižovatkový,1956.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,146.0
cesta I. triedy,2,24,M5555,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,,1973.0,,,3.0,59.9,,13.0,10.5,,,Uspokojivý,6671.0,4422A00107,4422A00113,72,61033.0,17.023798066,48.326810205,176.6135,59.9,rámová,monolitický predpätý betón,19.0,52.0,122.0,odhadom,Cestná komunikácia,0.0,lúč,157.0,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,0.0,151.0
