Trieda CK,Číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer useku,Typ useku,Vlastník CK,Typ správcu CK,Správca CK,KRAJ,OKRES,Pokračovanie,Poradie,Usek,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku,Kumulatívne staničenie začiatku
cesta I. triedy,2,2,M5897,02_002 Most cez potok Brestovec v obci Kopčany,,1966.0,,,1.0,6.55,,10.5,8.0,,,Dobrý,17.12331906,48.790152421,163.81625,Slovenská správa ciest - IVSC Bratislava,Štát,6.55,dosková,prefabrikovaný železobetón,29.0,64.0,303.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,15.0,259391.0,3424A11500,3424A11600,247.0,142,4.488,4542.0
cesta I. triedy,2,3,M1979,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,,1962.0,,,1.0,8.0,,9.5,8.5,,,Dobrý,17.079098102,48.757287384,162.974249,Slovenská správa ciest - IVSC Bratislava,Štát,8.0,dosková,prefabrikovaný predpätý betón,19.0,49.0,199.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,31.0,259371.0,3424A09500,3424A01900,4421.0,521,9.462,9474.0
cesta I. triedy,2,4,M6525,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,,1967.0,,,3.0,40.0,,10.0,9.0,,,Uspokojivý,17.031675254,48.684515442,168.96875,Slovenská správa ciest - IVSC Bratislava,Štát,40.0,dosková,prefabrikovaný predpätý betón,26.0,61.0,178.0,odhadom,Železnica,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,36.0,259340.0,3424A06400,3442A04800,1050.0,706,18.629,18691.0
cesta I. triedy,2,5,M4584,O2_005 Most cez Zelnický potok pred obcou Kúty,,1962.0,,,1.0,3.7,,9.5,8.5,,,Dobrý,17.020573721,48.663687978,155.871499,Slovenská správa ciest - IVSC Bratislava,Štát,3.7,dosková,monolitický železobetón,16.0,42.0,316.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,51.0,284171.0,3442A27200,3442A27300,200.0,2,21.006,21159.0
cesta I. triedy,2,6,M3053,"02_006 Most nad diaľnicou D2, pri obci Kúty",,1980.0,,,3.0,65.0,,13.0,10.5,,,Uspokojivý,17.001659036,48.639120267,161.483999,Slovenská správa ciest - IVSC Bratislava,Štát,65.0,trámová,prefabrikovaný predpätý betón,52.0,188.0,260.0,porovnávací výpočet,Cestná komunikácia,0.0,lúč,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,8.0,6670.0,3442A01113,3442A01109,270.0,140,24.44,24260.0
cesta I. triedy,2,7,M1833,02_007 Most cez rieku Myjava za obcou Kúty,,1949.0,,,2.0,22.8,,11.0,10.0,,,Zlý,16.994970512,48.634732118,153.17525,Slovenská správa ciest - IVSC Bratislava,Štát,22.8,dosková,monolitický železobetón,20.0,50.0,130.0,porovnávací výpočet,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,11.0,8719.0,3442A01106,3441A02100,1685.0,452,25.031,24977.0
cesta I. triedy,2,8,M1055,02_008 Most cez kanál pri obci Sekule,,1940.0,,,1.0,4.0,,8.1,7.4,,,Dobrý,16.995904186,48.600581635,150.6425,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,18.0,284190.0,3441A02700,3441A02800,456.0,152,29.02,28980.0
cesta I. triedy,2,9,M1839,02_009 Most cez kanál v obci Moravský Svätý Ján,,1940.0,,,1.0,4.0,,7.4,6.1,,,Dobrý,16.991552442,48.589378839,149.679499,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,21.0,8508.0,3441A00500,3441A00200,683.0,323,30.292,30274.0
cesta I. triedy,2,10,M4986,02_010 Most cez potok Lakšár za obcou Moravský Ján,,1939.0,,,1.0,12.8,,8.05,6.6,,,Uspokojivý,16.993470125,48.572310285,151.34075,Slovenská správa ciest - IVSC Bratislava,Štát,12.8,trámová,monolitický železobetón,17.0,39.0,112.0,odhadom,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,26.0,283485.0,3441A01200,3441A01300,884.0,829,32.227,32184.0
cesta I. triedy,2,11,M2426,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,,1939.0,,,1.0,4.0,,8.2,7.0,,,Dobrý,16.982162231,48.534269208,150.758,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,0.0,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,31.0,8501.0,3441A00400,3441A03200,2632.0,877,36.582,36536.0
