Trieda CK,Číslo CK,Pôvodné číslo CK,Evidenčné číslo mosta,ID mosta,Názov mosta,Investor,Rok postavenia,Zhotovitel,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia,Dĺžka nosnej konštrukcie,Voľná šírka mosta,Šírka medzi obrubami,Plocha nosnej konštrukcie,Plocha mosta,Stavebno-technický stav,LongitudeE,LatitudeN,VyskaH,Správca - most,Vlastník - most,Dlzka DC,Druh konštrukcie,Materiál konštrukcie,Zaťažiteľnosť normálna,Zaťažiteľnost výhradná,Zaťažiteľnosť výnimočná,Spôsob stanovenia,Predmet premostenia,Smer_úseku,Typ_úseku,Vlastník CK,Typ správcu CK,Správca CK,Kraj,Okres,Pokračovanie,Poradie,Usek ID,Poc. Uzol,Konc. Uzol,Ev. dlzka useku,Úsekové staničenie začiatku,Kilometrovníkové staničenie začiatku - DC,Kumulatívne staničenie začiatku - DC,Kilometrovníkové staničenie začiatku - UZLA,Kumulatívne staničenie začiatku -UZLA
cesta I. triedy,2,,2,M5897,02_002 Most cez potok Brestovec v obci Kopčany,,1966.0,,,1.0,6.55,,10.5,8.0,,,Dobrý,17.12331906,48.790152421,163.81625,Slovenská správa ciest - IVSC Bratislava,Štát,6.55,dosková,prefabrikovaný železobetón,29.0,64.0,303.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,15,259391,3424A11500,3424A11600,247,142,4.488,4542,4346.0,4400
cesta I. triedy,2,,3,M1979,02_003 Most cez Cuninský potok medzi obcami Kopčany a Kúty,,1962.0,,,1.0,8.0,,9.5,8.5,,,Dobrý,17.079098102,48.757287384,162.974249,Slovenská správa ciest - IVSC Bratislava,Štát,8.0,dosková,prefabrikovaný predpätý betón,19.0,49.0,199.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,31,259371,3424A09500,3424A01900,4421,521,9.462,9474,8941.0,8953
cesta I. triedy,2,,4,M6525,02_004 Most nad železnicou Praha - Bratislava v k.ú. obce Brodské,,1967.0,,,3.0,40.0,,10.0,9.0,,,Uspokojivý,17.031675254,48.684515442,168.96875,Slovenská správa ciest - IVSC Bratislava,Štát,40.0,dosková,prefabrikovaný predpätý betón,26.0,61.0,178.0,odhadom,Železnica,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Skalica,0.0,36,259340,3424A06400,3442A04800,1050,706,18.629,18691,17967.0,17985
cesta I. triedy,2,,5,M4584,O2_005 Most cez Zelnický potok pred obcou Kúty,,1962.0,,,1.0,3.7,,9.5,8.5,,,Dobrý,17.020573721,48.663687978,155.871499,Slovenská správa ciest - IVSC Bratislava,Štát,3.7,dosková,monolitický železobetón,16.0,42.0,316.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,0.0,51,284171,3442A27200,3442A27300,200,2,21.006,21159,21004.0,21157
cesta I. triedy,2,,6,M3053,"02_006 Most nad diaľnicou D2, pri obci Kúty",,1980.0,,,3.0,65.0,,13.0,10.5,,,Uspokojivý,17.001659036,48.639120267,161.483999,Slovenská správa ciest - IVSC Bratislava,Štát,65.0,trámová,prefabrikovaný predpätý betón,52.0,188.0,260.0,porovnávací výpočet,Cestná komunikácia,oba smery trasy CK,lúč,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,8,6670,3442A01113,3442A01109,270,140,24.44,24260,24300.0,24120
cesta I. triedy,2,,7,M1833,02_007 Most cez rieku Myjava za obcou Kúty,,1949.0,,,2.0,22.8,,11.0,10.0,,,Zlý,16.994970512,48.634732118,153.17525,Slovenská správa ciest - IVSC Bratislava,Štát,22.8,dosková,monolitický železobetón,20.0,50.0,130.0,porovnávací výpočet,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,11,8719,3442A01106,3441A02100,1685,452,25.031,24977,24579.0,24525
cesta I. triedy,2,,8,M1055,02_008 Most cez kanál pri obci Sekule,,1940.0,,,1.0,4.0,,8.1,7.4,,,Dobrý,16.995904186,48.600581635,150.6425,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,18,284190,3441A02700,3441A02800,456,152,29.02,28980,28868.0,28828
cesta I. triedy,2,,9,M1839,02_009 Most cez kanál v obci Moravský Svätý Ján,,1940.0,,,1.0,4.0,,7.4,6.1,,,Dobrý,16.991552442,48.589378839,149.679499,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,21,8508,3441A00500,3441A00200,683,323,30.292,30274,29969.0,29951
cesta I. triedy,2,,10,M4986,02_010 Most cez potok Lakšár za obcou Moravský Ján,,1939.0,,,1.0,12.8,,8.05,6.6,,,Uspokojivý,16.993470125,48.572310285,151.34075,Slovenská správa ciest - IVSC Bratislava,Štát,12.8,trámová,monolitický železobetón,17.0,39.0,112.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Trnavský kraj,Senica,1.0,26,283485,3441A01200,3441A01300,884,829,32.227,32184,31297.0,31355
cesta I. triedy,2,,11,M2426,02_011 Most cez potok Ambrod v k.ú. obce Moravský Ján,,1939.0,,,1.0,4.0,,8.2,7.0,,,Dobrý,16.982162231,48.534269208,150.758,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,11.0,31.0,234.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,31,8501,3441A00400,3441A03200,2632,877,36.582,36536,35695.0,35659
cesta I. triedy,2,,011A,M6131,"02_011A Most cez potok/mlynský náhon, Veľké Leváre",,1975.0,,,2.0,4.55,,10.5,7.8,,,Dobrý,17.003032908,48.499879296,0.0,Slovenská správa ciest - IVSC Bratislava,Štát,4.55,rámová,prefabrikovaný železobetón,21.0,71.0,504.0,projektovaná,,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,41,426555,3444A11800,3444A11900,113,80,40.678,40689,40598.0,40609
cesta I. triedy,2,,12,M2128,02_012 Most cez potok za obcou Veľké Leváre,,1977.0,,,1.0,2.1,,10.5,9.5,,,Veľmi dobrý,17.003072509,48.499681704,159.119999,Slovenská správa ciest - IVSC Bratislava,Štát,2.1,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,41,426555,3444A11800,3444A11900,113,103,40.701,40712,40598.0,40609
cesta I. triedy,2,,13,M139,02_013 Most cez potok Rudava,,1977.0,,,1.0,12.9,,10.5,9.5,,,Uspokojivý,17.009922887,48.489033881,155.96025,Slovenská správa ciest - IVSC Bratislava,Štát,12.9,trámová,prefabrikovaný predpätý betón,37.0,89.0,258.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,45,426559,3444A12200,3444A12300,479,434,42.044,42004,41610.0,41570
cesta I. triedy,2,,14,M3021,02_014 Most cez kanál za obcou Veľké Leváre,,1977.0,,,1.0,2.1,,10.3,9.5,,,Dobrý,17.012068791,48.485986971,154.750249,Slovenská správa ciest - IVSC Bratislava,Štát,2.1,trámová,monolitický železobetón,21.0,71.0,504.0,podľa tabuliek,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,46,426560,3444A12300,3444A12400,2101,335,42.424,42384,42089.0,42049
cesta I. triedy,2,,15,M24,02_015 Most cez potok Malina v Malackách,,1938.0,,,1.0,9.5,,8.0,6.0,,,Uspokojivý,17.012224814,48.440933137,160.031,Slovenská správa ciest - IVSC Bratislava,Štát,9.5,trámová,monolitický železobetón,14.0,31.0,102.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,60,426574,3444A13700,3444A13800,141,117,47.441,47422,47324.0,47305
cesta I. triedy,2,,16,M65,02_016 2.Most cez potok Malina v Malackách,,1934.0,,,1.0,7.45,,7.65,7.65,,,Uspokojivý,17.020628121,48.425106076,162.101999,Slovenská správa ciest - IVSC Bratislava,Štát,7.45,trámová,monolitický železobetón,13.0,31.0,136.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,77,426591,3444A14600,3444A14700,252,145,49.442,49449,49297.0,49304
cesta I. triedy,2,,18,M2290,02_018 Most cez jarok Balážka v obci Malacky,,1934.0,,,1.0,2.95,,7.45,7.45,,,Dobrý,17.019061316,48.412613048,163.311749,Slovenská správa ciest - IVSC Bratislava,Štát,2.95,dosková,monolitický železobetón,11.0,36.0,300.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,81,426595,3444A15000,3444A15100,1691,294,50.7,50821,50517.0,50527
cesta I. triedy,2,,19,M2334,02_019 Most nad železnicou Brno-Bratislava pri obci Plavecký Štvrtok,,1934.0,,,3.0,32.6,,7.35,5.85,,,Dobrý,17.016530125,48.398454069,178.48325,Slovenská správa ciest - IVSC Bratislava,Štát,32.6,trámová,monolitický železobetón,18.0,42.0,98.0,,Železnica,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,82,426596,3444A15100,3444A15200,605,264,52.479,52482,52215.0,52218
cesta I. triedy,2,,20,M5138,02_020 Most cez potok Hlavina,,1934.0,,,1.0,6.0,,8.0,7.2,,,Uspokojivý,17.019896533,48.39305116,167.8405,Slovenská správa ciest - IVSC Bratislava,Štát,6.0,dosková,monolitický železobetón,15.0,27.0,138.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,83,426597,3444A15200,3444A15300,990,331,53.146,53154,52815.0,52823
cesta I. triedy,2,,21,M616,02_021 Most cez potok Štum,,1934.0,,,1.0,4.15,,8.35,8.35,,,Dobrý,17.016902618,48.364202757,164.361,Slovenská správa ciest - IVSC Bratislava,Štát,4.15,dosková,monolitický železobetón,13.0,39.0,168.0,podľa tabuliek,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,87,426497,3444A09700,3444A03700,529,219,56.287,56399,56068.0,56180
cesta I. triedy,2,,22,M6907,02_022 Most cez potok Frikav v k. ú. obce Lozorno,,1934.0,,,1.0,4.0,,8.1,7.8,,,Dobrý,17.019155983,48.346283788,164.347999,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,monolitický železobetón,17.0,38.0,219.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,90,429544,3444A22900,4422A02200,1956,11,58.324,58433,58313.0,58422
cesta I. triedy,2,,24,M5555,02_024 Most nad diaľnicou D2 v k.ú. obce Lozorno,,1973.0,,,3.0,59.9,,13.0,10.5,,,Uspokojivý,17.023798066,48.326810205,176.6135,Slovenská správa ciest - IVSC Bratislava,Štát,59.9,rámová,monolitický predpätý betón,19.0,52.0,122.0,odhadom,Cestná komunikácia,oba smery trasy CK,lúč,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,95,6671,4422A00107,4422A00113,157,72,60.868,60916,60796.0,60844
cesta I. triedy,2,,25,M5509,02_025 Most cez Lozorňanský potok,,1972.0,,,1.0,5.0,,11.5,10.5,,,Veľmi dobrý,17.029249805,48.318007888,177.103499,Slovenská správa ciest - IVSC Bratislava,Štát,5.0,trámová,prefabrikovaný železobetón,36.0,78.0,354.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,100,6298,4422A00200,4422A25500,1272,823,62.231,62226,61355.0,61403
cesta I. triedy,2,,26,M4332,02_026 Most cez zátokové územie pred Stupavou,,1927.0,,,1.0,2.2,,7.85,7.65,,,Dobrý,17.031404597,48.288147531,169.082999,Slovenská správa ciest - IVSC Bratislava,Štát,2.2,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Záplavové územie,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,104,426537,4422A25800,4422A25900,1743,1553,65.608,65605,64038.0,64052
cesta I. triedy,2,,28,M6110,02_028 Most cez potok v Stupave,,1966.0,,,1.0,5.9,,14.0,10.0,,,Veľmi dobrý,17.031912319,48.274879854,178.77,Slovenská správa ciest - IVSC Bratislava,Štát,5.9,dosková,prefabrikovaný železobetón,27.0,56.0,160.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,111,6300,4422A02400,4422A27300,242,210,67.106,67107,66896.0,66897
cesta I. triedy,2,,29,M3838,02_029 Most cez mlynský náhon v obci Stupava,,1948.0,,,1.0,3.0,,18.2,13.3,,,Uspokojivý,17.031948416,48.274517135,180.40325,Slovenská správa ciest - IVSC Bratislava,Štát,3.0,dosková,monolitický železobetón,13.0,40.0,350.0,odhadom,Kanál,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,112,426576,4422A27300,4422A27400,20,10,67.148,67149,67138.0,67139
cesta I. triedy,2,,30,M2550,02_030 Most cez potok v k.ú. obce Stupava,,1961.0,,,1.0,4.0,,9.65,8.55,,,Dobrý,17.030527629,48.255456029,167.4535,Slovenská správa ciest - IVSC Bratislava,Štát,4.0,dosková,prefabrikovaný železobetón,18.0,36.0,239.0,odhadom,Vodný tok,oba smery trasy CK,medzikrižovatkový,STAT,SSC,SSC  - IVSC BA,Bratislavský kraj,Malacky,1.0,127,429530,4422A31900,4422A32000,155,110,69.173,69306,69063.0,69196
cesta I. triedy,2,,31,M2259,,,1961.0,,,1.0,4.35,,10.64,10.45,,,Uspokojivý,17.034100573,48.24924125,213.564499,Magistrát hl. m. SR Bratislavy,Bratislava,4.35,dosková,prefabrikovaný železobetón,31.8,88.2,156.0,projektovaná,Vodný tok,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,1.0,133,486152,4422A06003,4422A02600,519,14,69.953,70086,69939.0,70072
cesta I. triedy,2,,32,M3446,,,1961.0,,,1.0,3.22,,11.22,11.22,,,Zlý,17.034921066,48.241369836,215.326,Magistrát hl. m. SR Bratislavy,Bratislava,3.22,dosková,monolitický železobetón,16.0,39.0,210.0,projektovaná,Vodný tok,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,1.0,136,460524,4422A33200,4422A33300,125,334,70.833,70966,70834.0,70967
cesta I. triedy,2,,33,M7099,,,1946.0,,,1.0,31.0,,14.0,10.0,,,Zlý,17.047198389,48.189058513,258.09325,Magistrát hl. m. SR Bratislavy,Bratislava,31.0,klenbová,monolitický železobetón,43.2,86.4,195.7,projektovaná,Železnica,oba smery trasy CK,medzikrižovatkový,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,3.0,9,460763,4422A45000,4422A45100,87,16,76.532,76728,76712.0,76712
cesta I. triedy,2,,116 3,M7373,Pracovný názov: Most nad privádzačom D2 Lamač BA,,1000.0,,,0.0,,,,,,,Nezistený,17.061246226,48.178880585,0.0,Magistrát hl. m. SR Bratislavy,Bratislava,,,,0.0,0.0,0.0,,,v smere trasy CK,lúč,BA,MAG BA,MAG BA,Bratislavský kraj,Bratislava IV,5.0,2,510953,4422A05921,4422A05914,419,146,78.109,78305,77963.0,78159
