Trieda PK,Číslo PK,Most /DC,Názov mosta,ID mosta,ID DC,správcovské číslo,Stavebno-technický stav,Longitude,Latitude,Vyska,Druh konštrukcie,Material,Normána zaťažiteľnost / t,Výhradná zaťažiteľnosť / t,Výnimočná zaťažiteľnosť / t,Spôsob stanovenie,Predmet premostenia,Rok postavenia,Zaťažovacia trieda STN,Počet otvorov,Dĺžka premostenia / m,Dĺžka nosnej konštrukcie / m,Volná šírka mosta/ m,Šírka medzi obrubami/ m,Pocha mosnej konštrukcie / m2,Plocha mosta / m2,Vlastník úseku,Správca úseku,Okres,Smer úseku,Typ úseku,Počiatočný uzol,Koncový uzol,úsek ID,úsekové staničenie začiatku DC / m,Kilometrovníkové staničenie začiatku DC / km,Kumulatívne staničenie začiatku DC / km,Poradie úsekov
cesta I. triedy,10,Most,18_235 Most cez bezmenný potok Pod Bumbálkou,M262,M262.01,235,Uspokojivý,18.409047276,49.395756994,847.5555,klenbová,monolitický prostý betón,40.0,104.0,336.0,podľa tabuliek,Vodný tok,1937.0,,1.0,2.3,,12.0,12.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2524A02200,2524A00601,9190,394,0.39,0.394,1.0
cesta I. triedy,10,Most,"18_236 Most cez bezmenný potok, osada Trojačka",M1915,M1915.01,236,Zlý,18.425420819,49.37973284,702.3405,dosková,monolitický železobetón,13.0,40.0,350.0,podľa tabuliek,Vodný tok,1920.0,,1.0,2.5,,8.6,8.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2524A00602,2524A16500,7027,1757,3.901,3.918,3.0
cesta I. triedy,10,Most,18_237 Most cez potok Trojačka v obci Makov,M4803,M4803.01,237,Veľmi dobrý,18.431718544,49.380403755,668.133499,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,1925.0,A,1.0,7.98,,8.4,7.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2524A16500,2524A16600,194551,244,4.447,4.464,4.0
cesta I. triedy,10,Most,10_238 Most cez potok Trojačka pri osade Trojačka,M1576,M1576.01,238,Havarijný,18.433049241,49.379726355,668.073499,dosková,monolitický železobetón,6.0,17.0,18.0,(neznámy),Vodný tok,1928.0,,1.0,4.0,,7.3,6.5,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2524A16500,2524A16600,194551,366,4.575,4.586,4.0
cesta I. triedy,10,Most,18_239 Most cez rieku Kysuca v obci Makov,M2309,M2309.01,239,Dobrý,18.475028902,49.369645524,595.702,trámová,monolitický železobetón,32.0,80.0,196.0,projektovaná,Vodný tok,1937.0,A,1.0,12.74,,7.0,7.0,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2524A09200,2524A09300,194309,8,8.198,8.221,15.0
cesta I. triedy,10,Most,18_240 Most cez potok Čierne v obci Makov,M5620,M5620.01,240,Zlý,18.482034957,49.370511931,587.2765,dosková,monolitický železobetón,9.0,25.0,187.0,podľa tabuliek,Vodný tok,1937.0,,1.0,4.2,,10.1,8.1,,,STAT,SSC - IVSC ZA,Čadca,oba smery trasy CK,medzikrižovatkový,2524A00802,2524A17500,8712,19,8.737,8.755,22.0
cesta I. triedy,10,Most,18_241 most cez potok v osade Babiše,M6379,M6379.01,241,Uspokojivý,18.508930767,49.333207652,687.637,klenbová,monolitický prostý betón,40.0,104.0,336.0,podľa tabuliek,Vodný tok,1937.0,,1.0,2.8,,12.4,10.0,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A06800,2542A06900,273346,1475,14.642,14.686,28.0
cesta I. triedy,10,Most,18_242 Most cez Jarok v osade Čiakov,M6997,M6997.01,242,Dobrý,18.514291805,49.325924618,599.3845,klenbová,monolitický prostý betón,30.0,75.0,315.0,podľa tabuliek,Vodný tok,1937.0,,1.0,2.4,,12.0,12.0,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A06800,2542A06900,273346,2860,16.027,16.071,28.0
cesta I. triedy,10,Most,18_243 Most cez potok pred obcou Kolárovice,M798,M798.01,243,Uspokojivý,18.523007312,49.318725899,536.258499,klenbová,monolitický prostý betón,40.0,100.0,420.0,odhadom,Vodný tok,1937.0,,1.0,4.52,,13.6,13.6,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A06900,2542A07000,273347,16,17.115,17.167,29.0
cesta I. triedy,10,Most,18_244 Most cez Kolárovický potok pred Kolárovicami,M1032,M1032.01,244,Veľmi zlý,18.522078124,49.306249666,477.71725,trámová,monolitický železobetón,11.0,21.0,120.0,podľa tabuliek,Vodný tok,1937.0,,1.0,9.0,,8.6,8.2,,,STAT,SSC - IVSC ZA,Bytča,oba smery trasy CK,medzikrižovatkový,2542A07000,2542A07100,273348,1415,18.635,18.628,30.0
